"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
"United States","2025-04-23 00:00","3,467"
"United States","2025-04-23 12:00","9,264"
"United States","2025-04-24 00:00","8,988"
"United States","2025-04-24 12:00","7,794"
"United States","2025-04-25 00:00","7,850"
"United States","2025-04-25 12:00","7,311"
"United States","2025-04-26 00:00","8,755"
"United States","2025-04-26 12:00","7,207"
"United States","2025-04-27 00:00","8,041"
"United States","2025-04-27 12:00","7,705"
"United States","2025-04-28 00:00","14,513"
"United States","2025-04-28 12:00","29,936"
"United States","2025-04-29 00:00","7,410"
"United States","2025-04-29 12:00","7,585"
"United States","2025-04-30 00:00","9,126"
"United States","2025-04-30 12:00","6,919"
"United States","2025-05-01 00:00","8,325"
"United States","2025-05-01 12:00","7,517"
"United States","2025-05-02 00:00","7,018"
"United States","2025-05-02 12:00","1,542"
"United States","2025-05-03 00:00","2,785"
"United States","2025-05-03 12:00","10,268"
"United States","2025-05-04 00:00","9,664"
"United States","2025-05-04 12:00","9,871"
"United States","2025-05-05 00:00","7,129"
"United States","2025-05-05 12:00","9,465"
"United States","2025-05-06 00:00","7,433"
"United States","2025-05-06 12:00","15,647"
"United States","2025-05-07 00:00","7,895"
"United States","2025-05-07 12:00","9,001"
"United States","2025-05-08 00:00","16,841"
"United States","2025-05-08 12:00","8,469"
"United States","2025-05-09 00:00","11,603"
"United States","2025-05-09 12:00","15,353"
"United States","2025-05-10 00:00","15,800"
"United States","2025-05-10 12:00","12,698"
"United States","2025-05-11 00:00","18,308"
"United States","2025-05-11 12:00","13,558"
"United States","2025-05-12 00:00","18,233"
"United States","2025-05-12 12:00","18,598"
"United States","2025-05-13 00:00","15,415"
"United States","2025-05-13 12:00","11,890"
"United States","2025-05-14 00:00","17,134"
"United States","2025-05-14 12:00","14,887"
"United States","2025-05-15 00:00","18,921"
"United States","2025-05-15 12:00","16,189"
"United States","2025-05-16 00:00","18,225"
"United States","2025-05-16 12:00","20,470"
"United States","2025-05-17 00:00","20,684"
"United States","2025-05-17 12:00","17,038"
"United States","2025-05-18 00:00","18,029"
"United States","2025-05-18 12:00","18,020"
"United States","2025-05-19 00:00","15,950"
"United States","2025-05-19 12:00","13,272"
"United States","2025-05-20 00:00","18,684"
"United States","2025-05-20 12:00","32,046"
"United States","2025-05-21 00:00","37,426"
"United States","2025-05-21 12:00","7,889"
Romania,"2025-04-23 00:00",118
Romania,"2025-04-23 12:00",575
Romania,"2025-04-24 00:00","11,474"
Romania,"2025-04-24 12:00",359
Romania,"2025-04-25 00:00",339
Romania,"2025-04-25 12:00",484
Romania,"2025-04-26 00:00","13,639"
Romania,"2025-04-26 12:00",395
Romania,"2025-04-27 00:00","23,579"
Romania,"2025-04-27 12:00",381
Romania,"2025-04-28 00:00",250
Romania,"2025-04-28 12:00",218
Romania,"2025-04-29 00:00",355
Romania,"2025-04-29 12:00","33,783"
Romania,"2025-04-30 00:00",216
Romania,"2025-04-30 12:00",183
Romania,"2025-05-01 00:00",442
Romania,"2025-05-01 12:00",238
Romania,"2025-05-02 00:00",375
Romania,"2025-05-02 12:00",321
Romania,"2025-05-03 00:00",187
Romania,"2025-05-03 12:00",382
Romania,"2025-05-04 00:00",223
Romania,"2025-05-04 12:00",187
Romania,"2025-05-05 00:00",226
Romania,"2025-05-05 12:00",231
Romania,"2025-05-06 00:00",614
Romania,"2025-05-06 12:00",512
Romania,"2025-05-07 00:00",239
Romania,"2025-05-07 12:00",34
Romania,"2025-05-08 00:00","13,024"
Romania,"2025-05-08 12:00",105
Romania,"2025-05-09 00:00","24,972"
Romania,"2025-05-09 12:00",411
Romania,"2025-05-10 00:00",146
Romania,"2025-05-10 12:00",54
Romania,"2025-05-11 00:00",679
Romania,"2025-05-11 12:00","53,208"
Romania,"2025-05-12 00:00","62,207"
Romania,"2025-05-12 12:00","31,108"
Romania,"2025-05-13 00:00","1,042"
Romania,"2025-05-13 12:00",894
Romania,"2025-05-14 00:00",659
Romania,"2025-05-14 12:00","28,322"
Romania,"2025-05-15 00:00","32,578"
Romania,"2025-05-15 12:00",475
Romania,"2025-05-16 00:00",672
Romania,"2025-05-16 12:00","27,880"
Romania,"2025-05-17 00:00",677
Romania,"2025-05-17 12:00",656
Romania,"2025-05-18 00:00","1,087"
Romania,"2025-05-18 12:00",593
Romania,"2025-05-19 00:00","32,295"
Romania,"2025-05-19 12:00",403
Romania,"2025-05-20 00:00",197
Romania,"2025-05-20 12:00",131
Romania,"2025-05-21 00:00","23,497"
Romania,"2025-05-21 12:00",232
France,"2025-04-23 00:00",13
France,"2025-04-23 12:00",374
France,"2025-04-24 00:00",296
France,"2025-04-24 12:00",295
France,"2025-04-25 00:00",86
France,"2025-04-25 12:00",200
France,"2025-04-26 00:00",191
France,"2025-04-26 12:00",53
France,"2025-04-27 00:00",73
France,"2025-04-27 12:00",277
France,"2025-04-28 00:00",104
France,"2025-04-28 12:00",100
France,"2025-04-29 00:00",76
France,"2025-04-29 12:00",246
France,"2025-04-30 00:00",317
France,"2025-04-30 12:00",43
France,"2025-05-01 00:00",64
France,"2025-05-01 12:00",66
France,"2025-05-02 00:00",339
France,"2025-05-02 12:00",26
France,"2025-05-03 00:00",72
France,"2025-05-03 12:00",114
France,"2025-05-04 00:00",51
France,"2025-05-04 12:00",411
France,"2025-05-05 00:00",338
France,"2025-05-05 12:00",288
France,"2025-05-06 00:00",65
France,"2025-05-06 12:00",281
France,"2025-05-07 00:00",450
France,"2025-05-07 12:00",112
France,"2025-05-08 00:00",366
France,"2025-05-08 12:00",84
France,"2025-05-09 00:00",94
France,"2025-05-09 12:00",360
France,"2025-05-10 00:00",116
France,"2025-05-10 12:00",133
France,"2025-05-11 00:00",574
France,"2025-05-11 12:00",76
France,"2025-05-12 00:00",476
France,"2025-05-12 12:00","1,520"
France,"2025-05-13 00:00",317
France,"2025-05-13 12:00",62
France,"2025-05-14 00:00",83
France,"2025-05-14 12:00",636
France,"2025-05-15 00:00",492
France,"2025-05-15 12:00",322
France,"2025-05-16 00:00",232
France,"2025-05-16 12:00",294
France,"2025-05-17 00:00",219
France,"2025-05-17 12:00",135
France,"2025-05-18 00:00","7,653"
France,"2025-05-18 12:00","228,987"
France,"2025-05-19 00:00","109,887"
France,"2025-05-19 12:00",68
France,"2025-05-20 00:00",76
France,"2025-05-20 12:00",268
France,"2025-05-21 00:00",76
France,"2025-05-21 12:00",86
China,"2025-04-23 00:00","1,265"
China,"2025-04-23 12:00","3,318"
China,"2025-04-24 00:00","2,442"
China,"2025-04-24 12:00","1,795"
China,"2025-04-25 00:00","3,386"
China,"2025-04-25 12:00","2,874"
China,"2025-04-26 00:00","2,736"
China,"2025-04-26 12:00","2,345"
China,"2025-04-27 00:00","2,555"
China,"2025-04-27 12:00","2,249"
China,"2025-04-28 00:00","2,907"
China,"2025-04-28 12:00","3,285"
China,"2025-04-29 00:00","2,621"
China,"2025-04-29 12:00","2,714"
China,"2025-04-30 00:00","3,247"
China,"2025-04-30 12:00","1,826"
China,"2025-05-01 00:00","2,326"
China,"2025-05-01 12:00","2,750"
China,"2025-05-02 00:00","3,058"
China,"2025-05-02 12:00","2,434"
China,"2025-05-03 00:00","1,438"
China,"2025-05-03 12:00","3,102"
China,"2025-05-04 00:00","14,055"
China,"2025-05-04 12:00","2,747"
China,"2025-05-05 00:00","3,166"
China,"2025-05-05 12:00","3,503"
China,"2025-05-06 00:00","3,856"
China,"2025-05-06 12:00","3,484"
China,"2025-05-07 00:00","3,894"
China,"2025-05-07 12:00","2,604"
China,"2025-05-08 00:00","2,650"
China,"2025-05-08 12:00","4,374"
China,"2025-05-09 00:00","3,044"
China,"2025-05-09 12:00","1,813"
China,"2025-05-10 00:00","2,645"
China,"2025-05-10 12:00","5,311"
China,"2025-05-11 00:00","3,784"
China,"2025-05-11 12:00","2,981"
China,"2025-05-12 00:00","6,045"
China,"2025-05-12 12:00","86,184"
China,"2025-05-13 00:00","27,882"
China,"2025-05-13 12:00","8,079"
China,"2025-05-14 00:00","4,336"
China,"2025-05-14 12:00","2,904"
China,"2025-05-15 00:00","3,388"
China,"2025-05-15 12:00","5,282"
China,"2025-05-16 00:00","4,154"
China,"2025-05-16 12:00","8,179"
China,"2025-05-17 00:00","2,989"
China,"2025-05-17 12:00","2,875"
China,"2025-05-18 00:00","2,664"
China,"2025-05-18 12:00","2,561"
China,"2025-05-19 00:00","2,369"
China,"2025-05-19 12:00","2,277"
China,"2025-05-20 00:00","1,598"
China,"2025-05-20 12:00","2,270"
China,"2025-05-21 00:00","1,211"
China,"2025-05-21 12:00","1,252"
"United Kingdom","2025-04-23 00:00",872
"United Kingdom","2025-04-23 12:00","2,463"
