geoip.country_name.keyword: Descending in AUS region,DestPort: Descending,Count
United States,5900,"118,057"
United States,5060,"22,543"
United States,7070,"15,045"
United States,22,"12,363"
United States,5038,"10,149"
Romania,5060,"406,566"
Romania,22,"3,136"
Romania,5432,237
Romania,5038,234
Romania,6379,199
France,22,"116,169"
France,15965,"1,392"
France,5060,907
France,5555,101
France,21,73
China,15965,"125,375"
China,445,"20,706"
China,22,"19,373"
China,23,"11,550"
China,1433,"4,645"
United Kingdom,22,"6,917"
United Kingdom,1433,"2,179"
United Kingdom,25,728
United Kingdom,80,629
United Kingdom,443,251
