"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
5060,"2025-04-23 00:00",76
5060,"2025-04-23 12:00",275
5060,"2025-04-24 00:00","11,430"
5060,"2025-04-24 12:00",253
5060,"2025-04-25 00:00",33
5060,"2025-04-25 12:00",25
5060,"2025-04-26 00:00","12,867"
5060,"2025-04-26 12:00",197
5060,"2025-04-27 00:00","23,559"
5060,"2025-04-27 12:00",493
5060,"2025-04-28 00:00",49
5060,"2025-04-28 12:00",38
5060,"2025-04-29 00:00",37
5060,"2025-04-29 12:00","33,489"
5060,"2025-04-30 00:00",209
5060,"2025-04-30 12:00",76
5060,"2025-05-01 00:00",134
5060,"2025-05-01 12:00",89
5060,"2025-05-02 00:00",71
5060,"2025-05-02 12:00",75
5060,"2025-05-03 00:00",142
5060,"2025-05-03 12:00",137
5060,"2025-05-04 00:00",185
5060,"2025-05-04 12:00",54
5060,"2025-05-05 00:00",81
5060,"2025-05-05 12:00",83
5060,"2025-05-06 00:00",201
5060,"2025-05-06 12:00",225
5060,"2025-05-07 00:00",290
5060,"2025-05-07 12:00",340
5060,"2025-05-08 00:00","13,409"
5060,"2025-05-08 12:00",653
5060,"2025-05-09 00:00","25,410"
5060,"2025-05-09 12:00",607
5060,"2025-05-10 00:00",680
5060,"2025-05-10 12:00",602
5060,"2025-05-11 00:00",839
5060,"2025-05-11 12:00","53,123"
5060,"2025-05-12 00:00","61,842"
5060,"2025-05-12 12:00","30,771"
5060,"2025-05-13 00:00",510
5060,"2025-05-13 12:00",301
5060,"2025-05-14 00:00",323
5060,"2025-05-14 12:00","27,912"
5060,"2025-05-15 00:00","31,538"
5060,"2025-05-15 12:00",87
5060,"2025-05-16 00:00",142
5060,"2025-05-16 12:00","27,397"
5060,"2025-05-17 00:00",90
5060,"2025-05-17 12:00",32
5060,"2025-05-18 00:00",225
5060,"2025-05-18 12:00",66
5060,"2025-05-19 00:00","31,714"
5060,"2025-05-19 12:00",165
5060,"2025-05-20 00:00",53
5060,"2025-05-20 12:00","6,484"
5060,"2025-05-21 00:00","30,857"
5060,"2025-05-21 12:00",478
22,"2025-04-23 00:00",806
22,"2025-04-23 12:00","1,218"
22,"2025-04-24 00:00",836
22,"2025-04-24 12:00",762
22,"2025-04-25 00:00","1,088"
22,"2025-04-25 12:00","1,726"
22,"2025-04-26 00:00","1,700"
22,"2025-04-26 12:00","1,109"
22,"2025-04-27 00:00","1,603"
22,"2025-04-27 12:00","1,457"
22,"2025-04-28 00:00","1,749"
22,"2025-04-28 12:00","1,541"
22,"2025-04-29 00:00","8,002"
22,"2025-04-29 12:00","1,576"
22,"2025-04-30 00:00","2,253"
22,"2025-04-30 12:00","1,398"
22,"2025-05-01 00:00","1,272"
22,"2025-05-01 12:00","1,008"
22,"2025-05-02 00:00","1,623"
22,"2025-05-02 12:00","1,421"
22,"2025-05-03 00:00","1,246"
22,"2025-05-03 12:00","1,687"
22,"2025-05-04 00:00","1,933"
22,"2025-05-04 12:00","1,431"
22,"2025-05-05 00:00","1,365"
22,"2025-05-05 12:00","2,188"
22,"2025-05-06 00:00","1,486"
22,"2025-05-06 12:00","1,848"
22,"2025-05-07 00:00","1,498"
22,"2025-05-07 12:00","1,451"
22,"2025-05-08 00:00","2,019"
22,"2025-05-08 12:00","2,029"
22,"2025-05-09 00:00","1,557"
22,"2025-05-09 12:00","1,270"
22,"2025-05-10 00:00","1,220"
22,"2025-05-10 12:00","1,076"
22,"2025-05-11 00:00","1,431"
22,"2025-05-11 12:00","1,092"
22,"2025-05-12 00:00","1,783"
22,"2025-05-12 12:00",804
22,"2025-05-13 00:00","1,572"
22,"2025-05-13 12:00","1,698"
22,"2025-05-14 00:00",994
22,"2025-05-14 12:00","1,219"
22,"2025-05-15 00:00","1,382"
22,"2025-05-15 12:00","1,463"
22,"2025-05-16 00:00","1,430"
22,"2025-05-16 12:00","1,357"
22,"2025-05-17 00:00","1,179"
22,"2025-05-17 12:00",780
22,"2025-05-18 00:00","10,469"
