"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Cowrie,"2025-04-23 00:00","6,206"
Cowrie,"2025-04-23 12:00","9,958"
Cowrie,"2025-04-24 00:00","7,588"
Cowrie,"2025-04-24 12:00","6,719"
Cowrie,"2025-04-25 00:00","8,892"
Cowrie,"2025-04-25 12:00","13,182"
Cowrie,"2025-04-26 00:00","11,743"
Cowrie,"2025-04-26 12:00","7,610"
Cowrie,"2025-04-27 00:00","10,537"
Cowrie,"2025-04-27 12:00","9,295"
Cowrie,"2025-04-28 00:00","11,562"
Cowrie,"2025-04-28 12:00","10,427"
Cowrie,"2025-04-29 00:00","41,625"
Cowrie,"2025-04-29 12:00","8,818"
Cowrie,"2025-04-30 00:00","13,991"
Cowrie,"2025-04-30 12:00","8,632"
Cowrie,"2025-05-01 00:00","7,211"
Cowrie,"2025-05-01 12:00","6,057"
Cowrie,"2025-05-02 00:00","11,476"
Cowrie,"2025-05-02 12:00","8,868"
Cowrie,"2025-05-03 00:00","7,262"
Cowrie,"2025-05-03 12:00","12,735"
Cowrie,"2025-05-04 00:00","12,340"
Cowrie,"2025-05-04 12:00","10,330"
Cowrie,"2025-05-05 00:00","8,677"
Cowrie,"2025-05-05 12:00","13,273"
Cowrie,"2025-05-06 00:00","9,256"
Cowrie,"2025-05-06 12:00","12,963"
Cowrie,"2025-05-07 00:00","11,564"
Cowrie,"2025-05-07 12:00","10,877"
Cowrie,"2025-05-08 00:00","12,433"
Cowrie,"2025-05-08 12:00","14,256"
Cowrie,"2025-05-09 00:00","10,784"
Cowrie,"2025-05-09 12:00","7,594"
Cowrie,"2025-05-10 00:00","8,490"
Cowrie,"2025-05-10 12:00","7,610"
Cowrie,"2025-05-11 00:00","10,071"
Cowrie,"2025-05-11 12:00","7,284"
Cowrie,"2025-05-12 00:00","12,351"
Cowrie,"2025-05-12 12:00","4,989"
Cowrie,"2025-05-13 00:00","13,432"
Cowrie,"2025-05-13 12:00","10,944"
Cowrie,"2025-05-14 00:00","6,363"
Cowrie,"2025-05-14 12:00","9,151"
Cowrie,"2025-05-15 00:00","10,621"
Cowrie,"2025-05-15 12:00","10,986"
Cowrie,"2025-05-16 00:00","9,496"
Cowrie,"2025-05-16 12:00","9,978"
Cowrie,"2025-05-17 00:00","7,745"
Cowrie,"2025-05-17 12:00","5,667"
Cowrie,"2025-05-18 00:00","35,498"
Cowrie,"2025-05-18 12:00","238,241"
Cowrie,"2025-05-19 00:00","116,654"
Cowrie,"2025-05-19 12:00","4,941"
Cowrie,"2025-05-20 00:00","7,223"
Cowrie,"2025-05-20 12:00","7,987"
Cowrie,"2025-05-21 00:00","3,736"
