"Timestamp per 12 hours",Attacks,"Unique Source IPs"
"2025-04-23 00:00","14,392","1,588"
"2025-04-23 12:00","33,805","3,167"
"2025-04-24 00:00","42,080","3,309"
"2025-04-24 12:00","31,195","3,289"
"2025-04-25 00:00","31,519","3,004"
"2025-04-25 12:00","36,216","2,799"
"2025-04-26 00:00","38,907","2,926"
"2025-04-26 12:00","21,102","2,495"
"2025-04-27 00:00","48,482","2,650"
"2025-04-27 12:00","27,450","2,572"
"2025-04-28 00:00","30,073","2,626"
"2025-04-28 12:00","46,351","2,635"
"2025-04-29 00:00","54,324","3,036"
"2025-04-29 12:00","58,919","3,106"
"2025-04-30 00:00","27,780","3,317"
"2025-04-30 12:00","20,528","2,960"
"2025-05-01 00:00","23,917","3,126"
"2025-05-01 12:00","21,556","2,666"
"2025-05-02 00:00","23,554","2,437"
"2025-05-02 12:00","10,232",485
"2025-05-03 00:00","14,686","1,345"
"2025-05-03 12:00","26,221","2,690"
"2025-05-04 00:00","37,078","2,813"
"2025-05-04 12:00","25,112","2,749"
"2025-05-05 00:00","21,798","2,806"
"2025-05-05 12:00","28,470","2,724"
"2025-05-06 00:00","24,315","2,880"
"2025-05-06 12:00","35,203","2,698"
"2025-05-07 00:00","24,839","2,692"
"2025-05-07 12:00","23,486","2,666"
"2025-05-08 00:00","48,603","2,865"
"2025-05-08 12:00","29,516","2,731"
"2025-05-09 00:00","50,984","2,906"
"2025-05-09 12:00","30,407","2,712"
"2025-05-10 00:00","30,597","2,871"
"2025-05-10 12:00","28,725","3,048"
"2025-05-11 00:00","39,655","3,444"
"2025-05-11 12:00","91,338","3,255"
"2025-05-12 00:00","99,469","3,439"
"2025-05-12 12:00","152,065","4,552"
"2025-05-13 00:00","59,725","3,320"
"2025-05-13 12:00","36,356","3,228"
"2025-05-14 00:00","39,336","3,387"
"2025-05-14 12:00","61,201","3,288"
"2025-05-15 00:00","71,453","3,339"
"2025-05-15 12:00","33,745","3,382"
"2025-05-16 00:00","46,895","3,418"
"2025-05-16 12:00","67,243","3,270"
"2025-05-17 00:00","33,322","3,339"
"2025-05-17 12:00","34,660","3,477"
"2025-05-18 00:00","72,159","3,068"
"2025-05-18 12:00","267,007","2,657"
"2025-05-19 00:00","168,124","2,628"
"2025-05-19 12:00","24,427","2,579"
"2025-05-20 00:00","33,125","3,227"
"2025-05-20 12:00","42,781","3,091"
"2025-05-21 00:00","71,102","3,114"
"2025-05-21 12:00","23,313","2,826"
