"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc activity","2025-04-23 00:00","4,399"
"Misc activity","2025-04-23 12:00","15,170"
"Misc activity","2025-04-24 00:00","17,566"
"Misc activity","2025-04-24 12:00","16,612"
"Misc activity","2025-04-25 00:00","23,313"
"Misc activity","2025-04-25 12:00","25,868"
"Misc activity","2025-04-26 00:00","26,330"
"Misc activity","2025-04-26 12:00","24,679"
"Misc activity","2025-04-27 00:00","18,788"
"Misc activity","2025-04-27 12:00","24,907"
"Misc activity","2025-04-28 00:00","18,916"
"Misc activity","2025-04-28 12:00","10,455"
"Misc activity","2025-04-29 00:00","14,497"
"Misc activity","2025-04-29 12:00","19,182"
"Misc activity","2025-04-30 00:00","25,688"
"Misc activity","2025-04-30 12:00","11,252"
"Misc activity","2025-05-01 00:00","13,828"
"Misc activity","2025-05-01 12:00","23,902"
"Misc activity","2025-05-02 00:00","23,860"
"Misc activity","2025-05-02 12:00","19,489"
"Misc activity","2025-05-03 00:00","26,013"
"Misc activity","2025-05-03 12:00","14,070"
"Misc activity","2025-05-04 00:00","14,345"
"Misc activity","2025-05-04 12:00","28,898"
"Misc activity","2025-05-05 00:00","25,341"
"Misc activity","2025-05-05 12:00","36,042"
"Misc activity","2025-05-06 00:00","20,201"
"Misc activity","2025-05-06 12:00","44,975"
"Misc activity","2025-05-07 00:00","17,058"
"Misc activity","2025-05-07 12:00","7,735"
"Misc activity","2025-05-08 00:00","47,310"
"Misc activity","2025-05-08 12:00","26,606"
"Misc activity","2025-05-09 00:00","27,363"
"Misc activity","2025-05-09 12:00","42,294"
"Misc activity","2025-05-10 00:00","24,175"
"Misc activity","2025-05-10 12:00","28,816"
"Misc activity","2025-05-11 00:00","61,064"
"Misc activity","2025-05-11 12:00","36,329"
"Misc activity","2025-05-12 00:00","39,344"
"Misc activity","2025-05-12 12:00","29,660"
"Misc activity","2025-05-13 00:00","26,035"
"Misc activity","2025-05-13 12:00","22,293"
"Misc activity","2025-05-14 00:00","28,981"
"Misc activity","2025-05-14 12:00","23,805"
"Misc activity","2025-05-15 00:00","42,468"
"Misc activity","2025-05-15 12:00","26,517"
"Misc activity","2025-05-16 00:00","55,254"
"Misc activity","2025-05-16 12:00","28,204"
"Misc activity","2025-05-17 00:00","30,522"
"Misc activity","2025-05-17 12:00","29,367"
"Misc activity","2025-05-18 00:00","43,031"
"Misc activity","2025-05-18 12:00","36,878"
"Misc activity","2025-05-19 00:00","29,437"
"Misc activity","2025-05-19 12:00","28,582"
"Misc activity","2025-05-20 00:00","44,881"
"Misc activity","2025-05-20 12:00","28,872"
"Misc activity","2025-05-21 00:00","41,786"
"Misc activity","2025-05-21 12:00","34,366"
"Attempted Administrator Privilege Gain","2025-04-23 00:00","1,361"
"Attempted Administrator Privilege Gain","2025-04-23 12:00","4,822"
"Attempted Administrator Privilege Gain","2025-04-24 00:00",644
"Attempted Administrator Privilege Gain","2025-04-24 12:00","1,995"
"Attempted Administrator Privilege Gain","2025-04-25 00:00","3,625"
"Attempted Administrator Privilege Gain","2025-04-25 12:00","4,714"
"Attempted Administrator Privilege Gain","2025-04-26 00:00",222
"Attempted Administrator Privilege Gain","2025-04-26 12:00","2,948"
"Attempted Administrator Privilege Gain","2025-04-27 00:00","1,854"
"Attempted Administrator Privilege Gain","2025-04-27 12:00","1,790"
"Attempted Administrator Privilege Gain","2025-04-28 00:00","6,708"
"Attempted Administrator Privilege Gain","2025-04-28 12:00","26,380"
"Attempted Administrator Privilege Gain","2025-04-29 00:00","2,986"
"Attempted Administrator Privilege Gain","2025-04-29 12:00","4,400"
"Attempted Administrator Privilege Gain","2025-04-30 00:00","1,593"
"Attempted Administrator Privilege Gain","2025-04-30 12:00","1,677"
"Attempted Administrator Privilege Gain","2025-05-01 00:00",156
