"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
"United States","2025-04-23 00:00","3,797"
"United States","2025-04-23 12:00","8,851"
"United States","2025-04-24 00:00","8,820"
"United States","2025-04-24 12:00","9,800"
"United States","2025-04-25 00:00","8,111"
"United States","2025-04-25 12:00","7,022"
"United States","2025-04-26 00:00","8,064"
"United States","2025-04-26 12:00","8,914"
"United States","2025-04-27 00:00","8,856"
"United States","2025-04-27 12:00","8,123"
"United States","2025-04-28 00:00","7,850"
"United States","2025-04-28 12:00","10,655"
"United States","2025-04-29 00:00","9,575"
"United States","2025-04-29 12:00","8,395"
"United States","2025-04-30 00:00","7,714"
"United States","2025-04-30 12:00","7,933"
"United States","2025-05-01 00:00","9,852"
"United States","2025-05-01 12:00","9,367"
"United States","2025-05-02 00:00","9,315"
"United States","2025-05-02 12:00","7,311"
"United States","2025-05-03 00:00","8,818"
"United States","2025-05-03 12:00","9,343"
"United States","2025-05-04 00:00","8,386"
"United States","2025-05-04 12:00","8,159"
"United States","2025-05-05 00:00","8,234"
"United States","2025-05-05 12:00","7,577"
"United States","2025-05-06 00:00","8,953"
"United States","2025-05-06 12:00","21,854"
"United States","2025-05-07 00:00","8,022"
"United States","2025-05-07 12:00","7,429"
"United States","2025-05-08 00:00","11,703"
"United States","2025-05-08 12:00","7,248"
"United States","2025-05-09 00:00","9,542"
"United States","2025-05-09 12:00","8,450"
"United States","2025-05-10 00:00","8,944"
"United States","2025-05-10 12:00","10,423"
"United States","2025-05-11 00:00","9,239"
"United States","2025-05-11 12:00","8,693"
"United States","2025-05-12 00:00","9,932"
"United States","2025-05-12 12:00","8,909"
"United States","2025-05-13 00:00","7,892"
"United States","2025-05-13 12:00","6,668"
"United States","2025-05-14 00:00","8,700"
"United States","2025-05-14 12:00","8,465"
"United States","2025-05-15 00:00","14,507"
"United States","2025-05-15 12:00","8,666"
"United States","2025-05-16 00:00","7,645"
"United States","2025-05-16 12:00","7,272"
"United States","2025-05-17 00:00","8,824"
"United States","2025-05-17 12:00","8,197"
"United States","2025-05-18 00:00","8,143"
"United States","2025-05-18 12:00","8,237"
"United States","2025-05-19 00:00","7,213"
"United States","2025-05-19 12:00","8,358"
"United States","2025-05-20 00:00","7,824"
"United States","2025-05-20 12:00","27,021"
"United States","2025-05-21 00:00","17,365"
"United States","2025-05-21 12:00","13,222"
Romania,"2025-04-23 00:00",240
Romania,"2025-04-23 12:00","3,809"
Romania,"2025-04-24 00:00","28,185"
Romania,"2025-04-24 12:00",342
Romania,"2025-04-25 00:00",459
Romania,"2025-04-25 12:00",273
Romania,"2025-04-26 00:00","24,079"
Romania,"2025-04-26 12:00",735
Romania,"2025-04-27 00:00","32,937"
Romania,"2025-04-27 12:00",354
Romania,"2025-04-28 00:00",205
Romania,"2025-04-28 12:00",280
Romania,"2025-04-29 00:00","22,004"
Romania,"2025-04-29 12:00",372
Romania,"2025-04-30 00:00",141
Romania,"2025-04-30 12:00",202
Romania,"2025-05-01 00:00",198
Romania,"2025-05-01 12:00",413
Romania,"2025-05-02 00:00",275
Romania,"2025-05-02 12:00",163
Romania,"2025-05-03 00:00",227
Romania,"2025-05-03 12:00",223
Romania,"2025-05-04 00:00",275
Romania,"2025-05-04 12:00",664
Romania,"2025-05-05 00:00",307
Romania,"2025-05-05 12:00",358
Romania,"2025-05-06 00:00",919
Romania,"2025-05-06 12:00",820
Romania,"2025-05-07 00:00",837
Romania,"2025-05-07 12:00",581
Romania,"2025-05-08 00:00","14,342"
Romania,"2025-05-08 12:00",332
Romania,"2025-05-09 00:00","40,404"
Romania,"2025-05-09 12:00",318
Romania,"2025-05-10 00:00","39,508"
Romania,"2025-05-10 12:00",52
Romania,"2025-05-11 00:00",399
Romania,"2025-05-11 12:00","48,078"
Romania,"2025-05-12 00:00","39,307"
Romania,"2025-05-12 12:00",479
Romania,"2025-05-13 00:00",875
Romania,"2025-05-13 12:00",478
Romania,"2025-05-14 00:00",360
Romania,"2025-05-14 12:00",570
Romania,"2025-05-15 00:00","27,916"
Romania,"2025-05-15 12:00",366
Romania,"2025-05-16 00:00","34,568"
Romania,"2025-05-16 12:00",753
Romania,"2025-05-17 00:00",920
Romania,"2025-05-17 12:00",366
Romania,"2025-05-18 00:00",816
Romania,"2025-05-18 12:00",557
Romania,"2025-05-19 00:00","22,964"
Romania,"2025-05-19 12:00",585
Romania,"2025-05-20 00:00",292
Romania,"2025-05-20 12:00",129
