geoip.country_name.keyword: Descending in HK region,DestPort: Descending,Count
United States,5060,"21,845"
United States,22,"15,525"
United States,5038,"13,354"
United States,7070,"5,815"
United States,80,"5,716"
Romania,5060,"398,894"
Romania,445,"3,154"
Romania,22,"3,065"
Romania,5038,234
Romania,587,186
France,22,"116,853"
France,5060,941
France,80,213
France,443,133
France,5555,105
China,22,"22,119"
China,6379,"12,476"
China,445,"4,803"
China,23,"3,162"
China,1433,"2,137"
Chile,445,"127,807"
Chile,1080,12
Chile,80,1
Chile,5985,1
