"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
5060,"2025-04-23 00:00",45
5060,"2025-04-23 12:00",218
5060,"2025-04-24 00:00","28,099"
5060,"2025-04-24 12:00",212
5060,"2025-04-25 00:00",33
5060,"2025-04-25 12:00",38
5060,"2025-04-26 00:00","23,768"
5060,"2025-04-26 12:00",148
5060,"2025-04-27 00:00","32,853"
5060,"2025-04-27 12:00",370
5060,"2025-04-28 00:00",52
5060,"2025-04-28 12:00",38
5060,"2025-04-29 00:00","21,816"
5060,"2025-04-29 12:00",84
5060,"2025-04-30 00:00",37
5060,"2025-04-30 12:00",35
5060,"2025-05-01 00:00",60
5060,"2025-05-01 12:00",83
5060,"2025-05-02 00:00",27
5060,"2025-05-02 12:00",36
5060,"2025-05-03 00:00",95
5060,"2025-05-03 12:00",83
5060,"2025-05-04 00:00",76
5060,"2025-05-04 12:00",62
5060,"2025-05-05 00:00",75
5060,"2025-05-05 12:00",81
5060,"2025-05-06 00:00",230
5060,"2025-05-06 12:00",181
5060,"2025-05-07 00:00",262
5060,"2025-05-07 12:00",273
5060,"2025-05-08 00:00","14,192"
5060,"2025-05-08 12:00",414
5060,"2025-05-09 00:00","40,841"
5060,"2025-05-09 12:00",587
5060,"2025-05-10 00:00","39,964"
5060,"2025-05-10 12:00",540
5060,"2025-05-11 00:00",686
5060,"2025-05-11 12:00","47,902"
5060,"2025-05-12 00:00","38,787"
5060,"2025-05-12 12:00",263
5060,"2025-05-13 00:00",297
5060,"2025-05-13 12:00",290
5060,"2025-05-14 00:00",304
5060,"2025-05-14 12:00",328
5060,"2025-05-15 00:00","27,554"
5060,"2025-05-15 12:00",267
5060,"2025-05-16 00:00","34,341"
5060,"2025-05-16 12:00",265
5060,"2025-05-17 00:00",306
5060,"2025-05-17 12:00",382
5060,"2025-05-18 00:00",472
5060,"2025-05-18 12:00",119
5060,"2025-05-19 00:00","22,289"
5060,"2025-05-19 12:00",149
5060,"2025-05-20 00:00",44
5060,"2025-05-20 12:00","6,466"
5060,"2025-05-21 00:00","65,391"
5060,"2025-05-21 12:00",464
22,"2025-04-23 00:00",485
22,"2025-04-23 12:00","1,680"
22,"2025-04-24 00:00","1,506"
22,"2025-04-24 12:00","1,839"
22,"2025-04-25 00:00","2,036"
22,"2025-04-25 12:00","1,308"
22,"2025-04-26 00:00","2,016"
22,"2025-04-26 12:00","6,444"
22,"2025-04-27 00:00","2,454"
22,"2025-04-27 12:00","1,608"
22,"2025-04-28 00:00","2,544"
22,"2025-04-28 12:00","2,092"
22,"2025-04-29 00:00","2,577"
22,"2025-04-29 12:00","1,726"
22,"2025-04-30 00:00","3,336"
22,"2025-04-30 12:00","1,804"
22,"2025-05-01 00:00","1,899"
22,"2025-05-01 12:00","1,741"
22,"2025-05-02 00:00","2,367"
22,"2025-05-02 12:00","1,645"
22,"2025-05-03 00:00","2,429"
22,"2025-05-03 12:00","1,688"
22,"2025-05-04 00:00","2,543"
22,"2025-05-04 12:00","2,153"
22,"2025-05-05 00:00","1,823"
22,"2025-05-05 12:00","1,838"
22,"2025-05-06 00:00","1,381"
22,"2025-05-06 12:00","2,142"
22,"2025-05-07 00:00","1,781"
22,"2025-05-07 12:00","1,895"
22,"2025-05-08 00:00","1,811"
22,"2025-05-08 12:00","1,145"
22,"2025-05-09 00:00","1,559"
22,"2025-05-09 12:00","1,419"
22,"2025-05-10 00:00","1,720"
22,"2025-05-10 12:00","2,112"
22,"2025-05-11 00:00","1,547"
22,"2025-05-11 12:00","1,537"
22,"2025-05-12 00:00","2,077"
22,"2025-05-12 12:00","1,651"
22,"2025-05-13 00:00","2,120"
22,"2025-05-13 12:00","1,482"
22,"2025-05-14 00:00","1,436"
22,"2025-05-14 12:00","1,034"
22,"2025-05-15 00:00","2,082"
22,"2025-05-15 12:00","2,039"
22,"2025-05-16 00:00","1,345"
22,"2025-05-16 12:00","1,599"
22,"2025-05-17 00:00","2,376"
22,"2025-05-17 12:00",865
22,"2025-05-18 00:00","10,166"
22,"2025-05-18 12:00","59,218"
22,"2025-05-19 00:00","57,277"
22,"2025-05-19 12:00","2,159"
22,"2025-05-20 00:00","1,797"
22,"2025-05-20 12:00","1,331"
22,"2025-05-21 00:00","2,405"
