"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Cowrie,"2025-04-23 00:00","3,913"
Cowrie,"2025-04-23 12:00","11,243"
Cowrie,"2025-04-24 00:00","10,898"
Cowrie,"2025-04-24 12:00","12,216"
Cowrie,"2025-04-25 00:00","13,224"
Cowrie,"2025-04-25 12:00","8,899"
Cowrie,"2025-04-26 00:00","13,156"
Cowrie,"2025-04-26 12:00","35,737"
Cowrie,"2025-04-27 00:00","14,331"
Cowrie,"2025-04-27 12:00","10,037"
Cowrie,"2025-04-28 00:00","15,149"
Cowrie,"2025-04-28 12:00","12,339"
Cowrie,"2025-04-29 00:00","14,130"
Cowrie,"2025-04-29 12:00","9,645"
Cowrie,"2025-04-30 00:00","19,384"
Cowrie,"2025-04-30 12:00","11,321"
Cowrie,"2025-05-01 00:00","12,024"
Cowrie,"2025-05-01 12:00","9,888"
Cowrie,"2025-05-02 00:00","14,054"
Cowrie,"2025-05-02 12:00","9,147"
Cowrie,"2025-05-03 00:00","13,905"
Cowrie,"2025-05-03 12:00","9,638"
Cowrie,"2025-05-04 00:00","15,741"
Cowrie,"2025-05-04 12:00","12,214"
Cowrie,"2025-05-05 00:00","9,913"
Cowrie,"2025-05-05 12:00","10,390"
Cowrie,"2025-05-06 00:00","8,131"
Cowrie,"2025-05-06 12:00","13,456"
Cowrie,"2025-05-07 00:00","12,848"
Cowrie,"2025-05-07 12:00","14,061"
Cowrie,"2025-05-08 00:00","10,748"
Cowrie,"2025-05-08 12:00","7,374"
Cowrie,"2025-05-09 00:00","9,575"
Cowrie,"2025-05-09 12:00","7,252"
Cowrie,"2025-05-10 00:00","10,416"
Cowrie,"2025-05-10 12:00","14,680"
Cowrie,"2025-05-11 00:00","9,529"
Cowrie,"2025-05-11 12:00","10,612"
Cowrie,"2025-05-12 00:00","15,172"
Cowrie,"2025-05-12 12:00","11,021"
Cowrie,"2025-05-13 00:00","12,950"
Cowrie,"2025-05-13 12:00","10,098"
Cowrie,"2025-05-14 00:00","8,903"
Cowrie,"2025-05-14 12:00","6,980"
Cowrie,"2025-05-15 00:00","13,332"
Cowrie,"2025-05-15 12:00","14,089"
Cowrie,"2025-05-16 00:00","7,934"
Cowrie,"2025-05-16 12:00","10,187"
Cowrie,"2025-05-17 00:00","16,178"
Cowrie,"2025-05-17 12:00","5,760"
Cowrie,"2025-05-18 00:00","35,081"
Cowrie,"2025-05-18 12:00","181,282"
Cowrie,"2025-05-19 00:00","176,434"
Cowrie,"2025-05-19 12:00","12,295"
Cowrie,"2025-05-20 00:00","10,547"
Cowrie,"2025-05-20 12:00","7,781"
Cowrie,"2025-05-21 00:00","14,324"
Cowrie,"2025-05-21 12:00","9,160"
Honeytrap,"2025-04-23 00:00","4,575"
Honeytrap,"2025-04-23 12:00","11,260"
Honeytrap,"2025-04-24 00:00","14,830"
Honeytrap,"2025-04-24 12:00","19,514"
Honeytrap,"2025-04-25 00:00","18,267"
Honeytrap,"2025-04-25 12:00","15,380"
Honeytrap,"2025-04-26 00:00","12,432"
Honeytrap,"2025-04-26 12:00","9,974"
Honeytrap,"2025-04-27 00:00","14,409"
Honeytrap,"2025-04-27 12:00","12,833"
Honeytrap,"2025-04-28 00:00","11,887"
Honeytrap,"2025-04-28 12:00","12,911"
Honeytrap,"2025-04-29 00:00","12,921"
Honeytrap,"2025-04-29 12:00","13,826"
Honeytrap,"2025-04-30 00:00","12,282"
Honeytrap,"2025-04-30 12:00","19,174"
Honeytrap,"2025-05-01 00:00","13,996"
Honeytrap,"2025-05-01 12:00","11,962"
Honeytrap,"2025-05-02 00:00","12,535"
