"Timestamp per 12 hours",Attacks,"Unique Source IPs"
"2025-04-23 00:00","9,369","1,693"
"2025-04-23 12:00","28,244","3,436"
"2025-04-24 00:00","57,011","3,780"
"2025-04-24 12:00","34,624","3,588"
"2025-04-25 00:00","36,731","3,369"
"2025-04-25 12:00","27,107","2,948"
"2025-04-26 00:00","51,441","3,053"
"2025-04-26 12:00","53,100","2,919"
"2025-04-27 00:00","68,083","3,035"
"2025-04-27 12:00","24,756","2,754"
"2025-04-28 00:00","29,244","2,882"
"2025-04-28 12:00","35,955","3,193"
"2025-04-29 00:00","63,513","3,594"
"2025-04-29 12:00","34,465","3,660"
"2025-04-30 00:00","45,154","3,945"
"2025-04-30 12:00","56,609","3,757"
"2025-05-01 00:00","72,101","4,082"
"2025-05-01 12:00","74,545","4,065"
"2025-05-02 00:00","33,850","4,143"
"2025-05-02 12:00","34,599","3,878"
"2025-05-03 00:00","27,688","4,084"
"2025-05-03 12:00","30,943","3,918"
"2025-05-04 00:00","35,426","4,056"
"2025-05-04 12:00","26,158","3,816"
"2025-05-05 00:00","29,891","3,749"
"2025-05-05 12:00","29,516","3,453"
"2025-05-06 00:00","31,245","3,519"
"2025-05-06 12:00","39,643","3,320"
"2025-05-07 00:00","29,962","2,986"
"2025-05-07 12:00","25,320","2,766"
"2025-05-08 00:00","40,752","3,102"
"2025-05-08 12:00","18,677","2,616"
"2025-05-09 00:00","64,365","3,142"
"2025-05-09 12:00","22,599","2,911"
"2025-05-10 00:00","66,702","3,056"
"2025-05-10 12:00","28,554","3,193"
"2025-05-11 00:00","27,129","3,570"
"2025-05-11 12:00","76,313","3,521"
"2025-05-12 00:00","68,861","3,530"
"2025-05-12 12:00","29,864","3,430"
"2025-05-13 00:00","44,387","3,574"
"2025-05-13 12:00","32,023","3,491"
"2025-05-14 00:00","27,915","3,640"
"2025-05-14 12:00","21,159","3,490"
"2025-05-15 00:00","58,467","3,723"
"2025-05-15 12:00","27,920","3,578"
"2025-05-16 00:00","56,331","3,675"
"2025-05-16 12:00","38,777","3,566"
"2025-05-17 00:00","31,790","3,721"
"2025-05-17 12:00","22,197","3,537"
"2025-05-18 00:00","50,379","3,141"
"2025-05-18 12:00","193,287","2,730"
"2025-05-19 00:00","212,708","2,716"
"2025-05-19 12:00","25,840","2,828"
"2025-05-20 00:00","25,033","3,350"
"2025-05-20 12:00","40,356","3,218"
"2025-05-21 00:00","106,183","3,391"
"2025-05-21 12:00","35,655","3,121"
