"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc activity","2025-04-23 00:00","6,157"
"Misc activity","2025-04-23 12:00","12,031"
"Misc activity","2025-04-24 00:00","13,258"
"Misc activity","2025-04-24 12:00","12,772"
"Misc activity","2025-04-25 00:00","16,754"
"Misc activity","2025-04-25 12:00","14,784"
"Misc activity","2025-04-26 00:00","13,829"
"Misc activity","2025-04-26 12:00","12,486"
"Misc activity","2025-04-27 00:00","13,693"
"Misc activity","2025-04-27 12:00","20,626"
"Misc activity","2025-04-28 00:00","20,344"
"Misc activity","2025-04-28 12:00","19,277"
"Misc activity","2025-04-29 00:00","30,644"
"Misc activity","2025-04-29 12:00","37,615"
"Misc activity","2025-04-30 00:00","25,006"
"Misc activity","2025-04-30 12:00","16,057"
"Misc activity","2025-05-01 00:00","28,579"
"Misc activity","2025-05-01 12:00","27,109"
"Misc activity","2025-05-02 00:00","16,582"
"Misc activity","2025-05-02 12:00","16,132"
"Misc activity","2025-05-03 00:00","24,240"
"Misc activity","2025-05-03 12:00","26,604"
"Misc activity","2025-05-04 00:00","16,732"
"Misc activity","2025-05-04 12:00","14,341"
"Misc activity","2025-05-05 00:00","15,735"
"Misc activity","2025-05-05 12:00","19,513"
"Misc activity","2025-05-06 00:00","15,525"
"Misc activity","2025-05-06 12:00","8,685"
"Misc activity","2025-05-07 00:00","12,457"
"Misc activity","2025-05-07 12:00","24,646"
"Misc activity","2025-05-08 00:00","28,057"
"Misc activity","2025-05-08 12:00","11,075"
"Misc activity","2025-05-09 00:00","14,717"
"Misc activity","2025-05-09 12:00","8,093"
"Misc activity","2025-05-10 00:00","9,675"
"Misc activity","2025-05-10 12:00","18,191"
"Misc activity","2025-05-11 00:00","9,474"
"Misc activity","2025-05-11 12:00","13,086"
"Misc activity","2025-05-12 00:00","12,623"
"Misc activity","2025-05-12 12:00","14,470"
"Misc activity","2025-05-13 00:00","13,944"
"Misc activity","2025-05-13 12:00","11,434"
"Misc activity","2025-05-14 00:00","159,796"
"Misc activity","2025-05-14 12:00","171,878"
"Misc activity","2025-05-15 00:00","37,788"
"Misc activity","2025-05-15 12:00","206,151"
"Misc activity","2025-05-16 00:00","177,919"
"Misc activity","2025-05-16 12:00","26,213"
"Misc activity","2025-05-17 00:00","15,051"
"Misc activity","2025-05-17 12:00","7,609"
"Misc activity","2025-05-18 00:00","8,732"
"Misc activity","2025-05-18 12:00","10,928"
"Misc activity","2025-05-19 00:00","10,447"
