Top 50 values of username.keyword in HK region,Count of records
root,"29,508"
admin,"4,586"
sa,"3,404"
345gs5662d34,"2,343"
user,"1,898"
ubuntu,"1,703"
test,"1,313"
oracle,"1,021"
postgres,"1,010"
Admin,685
ftpuser,663
ftp,616
www,612
ubnt,596
git,589
guest,578
dev,483
hadoop,483
es,473
steam,423
deploy,411
administrator,363
gitlab,359
centos,352
www-data,351
debian,349
anonymous,347
admin1,334
esuser,334
data,329
dolphinscheduler,329
user1,317
web,315
nginx,313
user123,306
db,304
wwwroot,303
pi,288
app,287
mysql,285
ADMiN1,284
ADMin1,284
ADmIn1,284
ADmiN1,284
ADmin1,284
AdMIN1,284
AdMiN1,284
AdMin1,284
AdmIn1,284
AdmiN1,284
