"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
"United States","2025-04-23 00:00","4,128"
"United States","2025-04-23 12:00","10,293"
"United States","2025-04-24 00:00","9,230"
"United States","2025-04-24 12:00","9,965"
"United States","2025-04-25 00:00","9,323"
"United States","2025-04-25 12:00","7,183"
"United States","2025-04-26 00:00","15,064"
"United States","2025-04-26 12:00","7,252"
"United States","2025-04-27 00:00","8,287"
"United States","2025-04-27 12:00","8,989"
"United States","2025-04-28 00:00","10,077"
"United States","2025-04-28 12:00","7,910"
"United States","2025-04-29 00:00","9,610"
"United States","2025-04-29 12:00","9,264"
"United States","2025-04-30 00:00","8,755"
"United States","2025-04-30 12:00","7,227"
"United States","2025-05-01 00:00","13,623"
"United States","2025-05-01 12:00","9,496"
"United States","2025-05-02 00:00","8,440"
"United States","2025-05-02 12:00","6,865"
"United States","2025-05-03 00:00","80,249"
"United States","2025-05-03 12:00","9,473"
"United States","2025-05-04 00:00","10,471"
"United States","2025-05-04 12:00","9,993"
"United States","2025-05-05 00:00","10,178"
"United States","2025-05-05 12:00","8,842"
"United States","2025-05-06 00:00","11,360"
"United States","2025-05-06 12:00","8,751"
"United States","2025-05-07 00:00","16,578"
"United States","2025-05-07 12:00","8,183"
"United States","2025-05-08 00:00","12,852"
"United States","2025-05-08 12:00","12,290"
"United States","2025-05-09 00:00","12,260"
"United States","2025-05-09 12:00","19,627"
"United States","2025-05-10 00:00","14,125"
"United States","2025-05-10 12:00","18,149"
"United States","2025-05-11 00:00","14,486"
"United States","2025-05-11 12:00","17,582"
"United States","2025-05-12 00:00","16,056"
"United States","2025-05-12 12:00","15,845"
"United States","2025-05-13 00:00","16,251"
"United States","2025-05-13 12:00","17,382"
"United States","2025-05-14 00:00","17,027"
"United States","2025-05-14 12:00","14,425"
"United States","2025-05-15 00:00","21,682"
"United States","2025-05-15 12:00","17,919"
"United States","2025-05-16 00:00","16,747"
"United States","2025-05-16 12:00","17,708"
"United States","2025-05-17 00:00","17,848"
"United States","2025-05-17 12:00","14,408"
"United States","2025-05-18 00:00","20,098"
"United States","2025-05-18 12:00","13,514"
"United States","2025-05-19 00:00","8,226"
"United States","2025-05-19 12:00","14,469"
"United States","2025-05-20 00:00","14,188"
"United States","2025-05-20 12:00","24,617"
"United States","2025-05-21 00:00","17,189"
"United States","2025-05-21 12:00","5,197"
France,"2025-04-23 00:00",265
France,"2025-04-23 12:00",666
France,"2025-04-24 00:00","1,010"
France,"2025-04-24 12:00",238
France,"2025-04-25 00:00",538
France,"2025-04-25 12:00","1,180"
France,"2025-04-26 00:00",834
France,"2025-04-26 12:00",249
France,"2025-04-27 00:00",726
France,"2025-04-27 12:00",350
France,"2025-04-28 00:00",190
France,"2025-04-28 12:00",361
France,"2025-04-29 00:00",283
France,"2025-04-29 12:00","1,677"
France,"2025-04-30 00:00",866
France,"2025-04-30 12:00",774
France,"2025-05-01 00:00","4,068"
France,"2025-05-01 12:00",632
France,"2025-05-02 00:00",361
France,"2025-05-02 12:00",852
France,"2025-05-03 00:00",484
France,"2025-05-03 12:00",725
France,"2025-05-04 00:00",329
France,"2025-05-04 12:00",771
France,"2025-05-05 00:00",252
France,"2025-05-05 12:00",647
France,"2025-05-06 00:00",277
France,"2025-05-06 12:00",441
France,"2025-05-07 00:00",837
France,"2025-05-07 12:00",562
France,"2025-05-08 00:00",804
France,"2025-05-08 12:00",940
France,"2025-05-09 00:00",623
France,"2025-05-09 12:00",390
France,"2025-05-10 00:00",708
