geoip.country_name.keyword: Descending in UK region,DestPort: Descending,Count
United States,5900,"121,107"
United States,22,"34,992"
United States,80,"7,249"
United States,25,"4,786"
United States,443,"2,317"
France,22,"118,127"
France,5060,911
France,80,629
France,25565,124
France,5555,101
Romania,5060,"340,448"
Romania,22,"3,368"
Romania,2222,469
Romania,5038,249
Romania,5432,237
South Africa,445,"329,251"
South Africa,1080,332
South Africa,22,248
South Africa,4443,7
South Africa,8081,6
China,22,"40,230"
China,6379,"7,751"
China,445,"4,376"
China,23,"3,327"
China,1433,"1,939"
