"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
5060,"2025-04-23 00:00",44
5060,"2025-04-23 12:00",186
5060,"2025-04-24 00:00","16,781"
5060,"2025-04-24 12:00",169
5060,"2025-04-25 00:00",38
5060,"2025-04-25 12:00",35
5060,"2025-04-26 00:00","34,019"
5060,"2025-04-26 12:00",230
5060,"2025-04-27 00:00","13,505"
5060,"2025-04-27 12:00",260
5060,"2025-04-28 00:00",128
5060,"2025-04-28 12:00",66
5060,"2025-04-29 00:00",40
5060,"2025-04-29 12:00","24,132"
5060,"2025-04-30 00:00",48
5060,"2025-04-30 12:00",36
5060,"2025-05-01 00:00",55
5060,"2025-05-01 12:00",36
5060,"2025-05-02 00:00",28
5060,"2025-05-02 12:00",32
5060,"2025-05-03 00:00",76
5060,"2025-05-03 12:00",70
5060,"2025-05-04 00:00",34
5060,"2025-05-04 12:00",13
5060,"2025-05-05 00:00",81
5060,"2025-05-05 12:00",41
5060,"2025-05-06 00:00",39
5060,"2025-05-06 12:00",20
5060,"2025-05-07 00:00",87
5060,"2025-05-07 12:00",53
5060,"2025-05-08 00:00","13,785"
5060,"2025-05-08 12:00",113
5060,"2025-05-09 00:00","15,745"
5060,"2025-05-09 12:00",124
5060,"2025-05-10 00:00","15,714"
5060,"2025-05-10 12:00",108
5060,"2025-05-11 00:00",220
5060,"2025-05-11 12:00","47,345"
5060,"2025-05-12 00:00","66,304"
5060,"2025-05-12 12:00",76
5060,"2025-05-13 00:00",62
5060,"2025-05-13 12:00",41
5060,"2025-05-14 00:00",87
5060,"2025-05-14 12:00","4,297"
5060,"2025-05-15 00:00","22,983"
5060,"2025-05-15 12:00",108
5060,"2025-05-16 00:00",92
5060,"2025-05-16 12:00","27,091"
5060,"2025-05-17 00:00",54
5060,"2025-05-17 12:00",29
5060,"2025-05-18 00:00",147
5060,"2025-05-18 12:00",132
5060,"2025-05-19 00:00","15,787"
5060,"2025-05-19 12:00",97
5060,"2025-05-20 00:00",42
5060,"2025-05-20 12:00",26
5060,"2025-05-21 00:00","83,821"
5060,"2025-05-21 12:00",105
445,"2025-04-23 00:00",8
445,"2025-04-23 12:00",70
445,"2025-04-24 00:00",353
445,"2025-04-24 12:00","1,765"
445,"2025-04-25 00:00","1,331"
445,"2025-04-25 12:00",690
