"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Cowrie,"2025-04-23 00:00","5,198"
Cowrie,"2025-04-23 12:00","11,607"
Cowrie,"2025-04-24 00:00","10,946"
Cowrie,"2025-04-24 12:00","11,742"
Cowrie,"2025-04-25 00:00","12,142"
Cowrie,"2025-04-25 12:00","12,442"
Cowrie,"2025-04-26 00:00","20,036"
Cowrie,"2025-04-26 12:00","9,408"
Cowrie,"2025-04-27 00:00","12,061"
Cowrie,"2025-04-27 12:00","15,396"
Cowrie,"2025-04-28 00:00","18,389"
Cowrie,"2025-04-28 12:00","9,018"
Cowrie,"2025-04-29 00:00","10,526"
Cowrie,"2025-04-29 12:00","41,387"
Cowrie,"2025-04-30 00:00","51,631"
Cowrie,"2025-04-30 12:00","14,344"
Cowrie,"2025-05-01 00:00","29,659"
Cowrie,"2025-05-01 12:00","13,363"
Cowrie,"2025-05-02 00:00","13,325"
Cowrie,"2025-05-02 12:00","12,999"
Cowrie,"2025-05-03 00:00","74,814"
Cowrie,"2025-05-03 12:00","13,836"
Cowrie,"2025-05-04 00:00","13,545"
Cowrie,"2025-05-04 12:00","10,566"
Cowrie,"2025-05-05 00:00","10,802"
Cowrie,"2025-05-05 12:00","9,899"
Cowrie,"2025-05-06 00:00","13,322"
Cowrie,"2025-05-06 12:00","17,191"
Cowrie,"2025-05-07 00:00","19,334"
Cowrie,"2025-05-07 12:00","11,887"
Cowrie,"2025-05-08 00:00","22,035"
Cowrie,"2025-05-08 12:00","17,678"
Cowrie,"2025-05-09 00:00","9,183"
Cowrie,"2025-05-09 12:00","10,766"
Cowrie,"2025-05-10 00:00","10,562"
Cowrie,"2025-05-10 12:00","29,471"
Cowrie,"2025-05-11 00:00","33,235"
Cowrie,"2025-05-11 12:00","8,247"
Cowrie,"2025-05-12 00:00","9,279"
Cowrie,"2025-05-12 12:00","8,877"
Cowrie,"2025-05-13 00:00","8,431"
Cowrie,"2025-05-13 12:00","13,148"
Cowrie,"2025-05-14 00:00","10,751"
Cowrie,"2025-05-14 12:00","12,376"
Cowrie,"2025-05-15 00:00","12,070"
Cowrie,"2025-05-15 12:00","13,429"
Cowrie,"2025-05-16 00:00","11,232"
Cowrie,"2025-05-16 12:00","12,219"
Cowrie,"2025-05-17 00:00","11,186"
Cowrie,"2025-05-17 12:00","11,823"
Cowrie,"2025-05-18 00:00","39,729"
Cowrie,"2025-05-18 12:00","242,196"
Cowrie,"2025-05-19 00:00","118,179"
Cowrie,"2025-05-19 12:00","8,663"
Cowrie,"2025-05-20 00:00","8,646"
