"Timestamp per 12 hours",Attacks,"Unique Source IPs"
"2025-04-23 00:00","13,486","1,478"
"2025-04-23 12:00","32,878","2,897"
"2025-04-24 00:00","47,269","3,012"
"2025-04-24 12:00","32,420","2,946"
"2025-04-25 00:00","34,624","2,993"
"2025-04-25 12:00","32,991","2,946"
"2025-04-26 00:00","71,653","3,375"
"2025-04-26 12:00","22,230","2,862"
"2025-04-27 00:00","43,891","2,876"
"2025-04-27 12:00","32,142","2,821"
"2025-04-28 00:00","34,333","2,836"
"2025-04-28 12:00","22,422","2,742"
"2025-04-29 00:00","30,971","2,793"
"2025-04-29 12:00","81,707","2,792"
"2025-04-30 00:00","68,901","2,863"
"2025-04-30 12:00","26,722","2,784"
"2025-05-01 00:00","46,866","3,080"
"2025-05-01 12:00","29,879","2,953"
"2025-05-02 00:00","32,066","2,954"
"2025-05-02 12:00","28,909","2,925"
"2025-05-03 00:00","98,184","2,939"
"2025-05-03 12:00","26,969","2,934"
"2025-05-04 00:00","27,699","2,959"
"2025-05-04 12:00","25,449","2,750"
"2025-05-05 00:00","32,950","2,908"
"2025-05-05 12:00","27,377","2,861"
"2025-05-06 00:00","27,702","3,032"
"2025-05-06 12:00","35,052","2,887"
"2025-05-07 00:00","42,058","2,936"
"2025-05-07 12:00","28,742","2,741"
"2025-05-08 00:00","53,644","3,055"
"2025-05-08 12:00","42,086","2,993"
"2025-05-09 00:00","48,500","3,287"
"2025-05-09 12:00","59,306","3,024"
"2025-05-10 00:00","64,053","3,092"
"2025-05-10 12:00","94,243","3,282"
"2025-05-11 00:00","57,785","3,544"
"2025-05-11 12:00","85,749","3,523"
"2025-05-12 00:00","126,992","3,455"
"2025-05-12 12:00","71,920","3,369"
"2025-05-13 00:00","38,014","3,554"
"2025-05-13 12:00","109,232","3,441"
"2025-05-14 00:00","99,092","3,550"
"2025-05-14 12:00","89,014","3,400"
"2025-05-15 00:00","80,077","3,566"
"2025-05-15 12:00","39,551","3,532"
"2025-05-16 00:00","35,605","3,606"
"2025-05-16 12:00","75,074","3,519"
"2025-05-17 00:00","33,987","3,588"
"2025-05-17 12:00","39,589","3,635"
"2025-05-18 00:00","69,254","3,267"
"2025-05-18 12:00","277,310","2,603"
"2025-05-19 00:00","145,428","2,665"
"2025-05-19 12:00","26,659","2,823"
"2025-05-20 00:00","32,309","3,359"
"2025-05-20 12:00","39,301","3,245"
"2025-05-21 00:00","119,357","3,283"
"2025-05-21 12:00","20,112","2,184"
