"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc activity","2025-04-23 00:00","2,246"
"Misc activity","2025-04-23 12:00","6,482"
"Misc activity","2025-04-24 00:00","7,544"
"Misc activity","2025-04-24 12:00","6,371"
"Misc activity","2025-04-25 00:00","7,774"
"Misc activity","2025-04-25 12:00","6,615"
"Misc activity","2025-04-26 00:00","6,269"
"Misc activity","2025-04-26 12:00","4,016"
"Misc activity","2025-04-27 00:00","4,224"
"Misc activity","2025-04-27 12:00","4,414"
"Misc activity","2025-04-28 00:00","5,749"
"Misc activity","2025-04-28 12:00","5,048"
"Misc activity","2025-04-29 00:00","9,363"
"Misc activity","2025-04-29 12:00","6,165"
"Misc activity","2025-04-30 00:00","8,630"
"Misc activity","2025-04-30 12:00","6,211"
"Misc activity","2025-05-01 00:00","6,073"
"Misc activity","2025-05-01 12:00","5,567"
"Misc activity","2025-05-02 00:00","4,436"
"Misc activity","2025-05-02 12:00","5,416"
"Misc activity","2025-05-03 00:00","12,139"
"Misc activity","2025-05-03 12:00","3,511"
"Misc activity","2025-05-04 00:00","3,762"
"Misc activity","2025-05-04 12:00","10,617"
"Misc activity","2025-05-05 00:00","13,234"
"Misc activity","2025-05-05 12:00","10,496"
"Misc activity","2025-05-06 00:00","8,033"
"Misc activity","2025-05-06 12:00","3,731"
"Misc activity","2025-05-07 00:00","32,265"
"Misc activity","2025-05-07 12:00","4,076"
"Misc activity","2025-05-08 00:00","18,170"
"Misc activity","2025-05-08 12:00","24,988"
"Misc activity","2025-05-09 00:00","20,481"
"Misc activity","2025-05-09 12:00","29,650"
"Misc activity","2025-05-10 00:00","9,459"
"Misc activity","2025-05-10 12:00","23,622"
"Misc activity","2025-05-11 00:00","10,612"
"Misc activity","2025-05-11 12:00","21,299"
"Misc activity","2025-05-12 00:00","31,215"
"Misc activity","2025-05-12 12:00","11,572"
"Misc activity","2025-05-13 00:00","22,090"
"Misc activity","2025-05-13 12:00","39,691"
"Misc activity","2025-05-14 00:00","17,410"
"Misc activity","2025-05-14 12:00","28,158"
"Misc activity","2025-05-15 00:00","29,415"
"Misc activity","2025-05-15 12:00","16,027"
"Misc activity","2025-05-16 00:00","15,637"
"Misc activity","2025-05-16 12:00","36,707"
"Misc activity","2025-05-17 00:00","19,254"
"Misc activity","2025-05-17 12:00","3,591"
"Misc activity","2025-05-18 00:00","26,486"
"Misc activity","2025-05-18 12:00","44,623"
"Misc activity","2025-05-19 00:00","2,650"
"Misc activity","2025-05-19 12:00","9,028"
"Misc activity","2025-05-20 00:00","20,324"
"Misc activity","2025-05-20 12:00","28,611"
"Misc activity","2025-05-21 00:00","27,615"
"Misc activity","2025-05-21 12:00","3,030"
"Generic Protocol Command Decode","2025-04-23 00:00",770
"Generic Protocol Command Decode","2025-04-23 12:00","2,074"
"Generic Protocol Command Decode","2025-04-24 00:00","1,684"
"Generic Protocol Command Decode","2025-04-24 12:00","1,410"
"Generic Protocol Command Decode","2025-04-25 00:00","1,756"
"Generic Protocol Command Decode","2025-04-25 12:00","5,020"
"Generic Protocol Command Decode","2025-04-26 00:00","1,843"
"Generic Protocol Command Decode","2025-04-26 12:00","5,833"
"Generic Protocol Command Decode","2025-04-27 00:00","1,994"
"Generic Protocol Command Decode","2025-04-27 12:00","1,586"
"Generic Protocol Command Decode","2025-04-28 00:00","5,488"
"Generic Protocol Command Decode","2025-04-28 12:00","1,536"
"Generic Protocol Command Decode","2025-04-29 00:00","1,621"
"Generic Protocol Command Decode","2025-04-29 12:00","2,636"
"Generic Protocol Command Decode","2025-04-30 00:00","7,123"
"Generic Protocol Command Decode","2025-04-30 12:00","1,585"
"Generic Protocol Command Decode","2025-05-01 00:00","1,900"
"Generic Protocol Command Decode","2025-05-01 12:00","8,343"
"Generic Protocol Command Decode","2025-05-02 00:00","5,251"
"Generic Protocol Command Decode","2025-05-02 12:00","6,925"
"Generic Protocol Command Decode","2025-05-03 00:00","16,516"
"Generic Protocol Command Decode","2025-05-03 12:00","1,350"
"Generic Protocol Command Decode","2025-05-04 00:00","9,588"
"Generic Protocol Command Decode","2025-05-04 12:00","2,001"
"Generic Protocol Command Decode","2025-05-05 00:00","17,469"
"Generic Protocol Command Decode","2025-05-05 12:00","1,987"
"Generic Protocol Command Decode","2025-05-06 00:00","1,507"
"Generic Protocol Command Decode","2025-05-06 12:00","11,218"
"Generic Protocol Command Decode","2025-05-07 00:00","17,587"
"Generic Protocol Command Decode","2025-05-07 12:00","10,793"
"Generic Protocol Command Decode","2025-05-08 00:00","7,446"
"Generic Protocol Command Decode","2025-05-08 12:00","1,926"
"Generic Protocol Command Decode","2025-05-09 00:00","6,602"
"Generic Protocol Command Decode","2025-05-09 12:00","8,862"
"Generic Protocol Command Decode","2025-05-10 00:00","7,880"
"Generic Protocol Command Decode","2025-05-10 12:00","2,798"
