Top 50 values of username.keyword in UK region,Count of records
root,"62,575"
admin,"5,836"
sa,"4,801"
345gs5662d34,"2,325"
user,"1,912"
oracle,"1,569"
test,"1,309"
postgres,"1,308"
git,"1,239"
ubuntu,"1,198"
ftpuser,891
es,831
www,830
guest,763
hadoop,720
ubnt,708
ftp,691
dev,687
Admin,663
deploy,646
gitlab,642
steam,581
esuser,575
app,574
flask,554
nginx,525
anonymous,524
user1,524
mysql,502
dolphinscheduler,487
centos,477
wang,477
tom,474
sonar,470
elastic,469
lighthouse,457
uftp,425
oscar,424
tomcat,424
pi,408
docker,392
developer,384
apache,372
elasticsearch,348
support,291
zabbix,289
debian,284
rancher,281
gpadmin,280
observer,279
