"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
"United States","2025-04-23 00:00","3,169"
"United States","2025-04-23 12:00","11,495"
"United States","2025-04-24 00:00","8,825"
"United States","2025-04-24 12:00","9,440"
"United States","2025-04-25 00:00","10,569"
"United States","2025-04-25 12:00","9,037"
"United States","2025-04-26 00:00","13,132"
"United States","2025-04-26 12:00","21,560"
"United States","2025-04-27 00:00","16,412"
"United States","2025-04-27 12:00","18,730"
"United States","2025-04-28 00:00","17,915"
"United States","2025-04-28 12:00","23,411"
"United States","2025-04-29 00:00","27,348"
"United States","2025-04-29 12:00","35,662"
"United States","2025-04-30 00:00","41,075"
"United States","2025-04-30 12:00","28,792"
"United States","2025-05-01 00:00","25,403"
"United States","2025-05-01 12:00","24,827"
"United States","2025-05-02 00:00","24,029"
"United States","2025-05-02 12:00","29,427"
"United States","2025-05-03 00:00","30,311"
"United States","2025-05-03 12:00","33,849"
"United States","2025-05-04 00:00","33,618"
"United States","2025-05-04 12:00","26,715"
"United States","2025-05-05 00:00","28,779"
"United States","2025-05-05 12:00","24,532"
"United States","2025-05-06 00:00","19,133"
"United States","2025-05-06 12:00","16,859"
"United States","2025-05-07 00:00","16,057"
"United States","2025-05-07 12:00","21,474"
"United States","2025-05-08 00:00","9,208"
"United States","2025-05-08 12:00","6,129"
"United States","2025-05-09 00:00","16,535"
"United States","2025-05-09 12:00","29,918"
"United States","2025-05-10 00:00","23,212"
"United States","2025-05-10 12:00","22,481"
"United States","2025-05-11 00:00","28,840"
"United States","2025-05-11 12:00","21,980"
"United States","2025-05-12 00:00","25,533"
"United States","2025-05-12 12:00","21,059"
"United States","2025-05-13 00:00","21,068"
"United States","2025-05-13 12:00","12,800"
"United States","2025-05-14 00:00","21,121"
"United States","2025-05-14 12:00","19,870"
"United States","2025-05-15 00:00","28,119"
"United States","2025-05-15 12:00","20,117"
"United States","2025-05-16 00:00","22,271"
"United States","2025-05-16 12:00","22,891"
"United States","2025-05-17 00:00","23,633"
"United States","2025-05-17 12:00","20,991"
"United States","2025-05-18 00:00","25,465"
"United States","2025-05-18 12:00","26,287"
"United States","2025-05-19 00:00","28,960"
"United States","2025-05-19 12:00","23,066"
"United States","2025-05-20 00:00","22,622"
"United States","2025-05-20 12:00","27,605"
"United States","2025-05-21 00:00","14,399"
"United States","2025-05-21 12:00","18,812"
Brazil,"2025-04-23 00:00",663
Brazil,"2025-04-23 12:00",466
Brazil,"2025-04-24 00:00",365
Brazil,"2025-04-24 12:00",408
Brazil,"2025-04-25 00:00",364
Brazil,"2025-04-25 12:00",545
Brazil,"2025-04-26 00:00","1,064"
Brazil,"2025-04-26 12:00","1,564"
Brazil,"2025-04-27 00:00",745
Brazil,"2025-04-27 12:00",737
Brazil,"2025-04-28 00:00",916
Brazil,"2025-04-28 12:00","1,009"
Brazil,"2025-04-29 00:00",798
Brazil,"2025-04-29 12:00",644
Brazil,"2025-04-30 00:00",584
Brazil,"2025-04-30 12:00","1,292"
Brazil,"2025-05-01 00:00",985
Brazil,"2025-05-01 12:00",144
Brazil,"2025-05-02 00:00",746
Brazil,"2025-05-02 12:00",942
Brazil,"2025-05-03 00:00",215
Brazil,"2025-05-03 12:00","1,716"
Brazil,"2025-05-04 00:00",445
Brazil,"2025-05-04 12:00",961
Brazil,"2025-05-05 00:00",255
Brazil,"2025-05-05 12:00",341
Brazil,"2025-05-06 00:00",192
Brazil,"2025-05-06 12:00",564
Brazil,"2025-05-07 00:00",797
Brazil,"2025-05-07 12:00",837
Brazil,"2025-05-08 00:00",962
Brazil,"2025-05-08 12:00","1,002"
Brazil,"2025-05-09 00:00","1,382"
Brazil,"2025-05-09 12:00",987
Brazil,"2025-05-10 00:00",133
Brazil,"2025-05-10 12:00",384
Brazil,"2025-05-11 00:00",258
Brazil,"2025-05-11 12:00",214
Brazil,"2025-05-12 00:00",603
Brazil,"2025-05-12 12:00",192
Brazil,"2025-05-13 00:00",395
Brazil,"2025-05-13 12:00",113
Brazil,"2025-05-14 00:00",101
Brazil,"2025-05-14 12:00",91
Brazil,"2025-05-15 00:00",91
Brazil,"2025-05-15 12:00",82
Brazil,"2025-05-16 00:00","1,705"
Brazil,"2025-05-16 12:00",310
Brazil,"2025-05-17 00:00",71
Brazil,"2025-05-17 12:00",493
Brazil,"2025-05-18 00:00",296
Brazil,"2025-05-18 12:00",213
Brazil,"2025-05-19 00:00",231
Brazil,"2025-05-19 12:00",28
Brazil,"2025-05-20 00:00","72,016"
Brazil,"2025-05-20 12:00","261,274"
Brazil,"2025-05-21 00:00","9,318"
Brazil,"2025-05-21 12:00",416
Romania,"2025-04-23 00:00",265
Romania,"2025-04-23 12:00",683
Romania,"2025-04-24 00:00",685
Romania,"2025-04-24 12:00","1,094"
Romania,"2025-04-25 00:00",864
