geoip.country_name.keyword: Descending in USA region,DestPort: Descending,Count
United States,5901,"255,560"
United States,5900,"175,920"
United States,5902,"111,410"
United States,22,"22,267"
United States,6379,"11,210"
Brazil,22,"117,441"
Brazil,1080,"2,618"
Brazil,161,"1,833"
Brazil,23,566
Brazil,80,173
Romania,5060,"193,766"
Romania,22,"3,565"
Romania,6379,238
Romania,5038,234
Romania,587,210
Russia,5900,"82,225"
Russia,445,"6,546"
Russia,22,"3,284"
Russia,23,196
Russia,8888,71
China,22,"21,778"
China,6379,"3,218"
China,23,"2,643"
China,33184,859
China,11421,668
