"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
5900,"2025-04-23 12:00","11,198"
5900,"2025-04-24 12:00","11,878"
5900,"2025-04-25 00:00","5,527"
5900,"2025-04-25 12:00","3,304"
5900,"2025-04-26 00:00","17,567"
5900,"2025-04-26 12:00","6,552"
5900,"2025-04-27 00:00","11,644"
5900,"2025-04-27 12:00","6,455"
5900,"2025-04-28 00:00",3
5900,"2025-04-28 12:00","11,722"
5900,"2025-04-29 00:00","6,426"
5900,"2025-04-29 12:00","7,446"
5900,"2025-04-30 00:00","6,373"
5900,"2025-04-30 12:00","11,575"
5900,"2025-05-04 00:00",18
5900,"2025-05-05 00:00","11,473"
5900,"2025-05-06 00:00","11,443"
5900,"2025-05-07 00:00","1,025"
5900,"2025-05-07 12:00","10,013"
5900,"2025-05-08 12:00",8
5900,"2025-05-09 00:00","4,127"
5900,"2025-05-09 12:00","8,200"
5900,"2025-05-10 00:00","1,028"
5900,"2025-05-10 12:00","1,092"
5900,"2025-05-11 00:00","6,688"
5900,"2025-05-11 12:00","1,458"
5900,"2025-05-12 00:00","4,708"
5900,"2025-05-12 12:00","8,023"
5900,"2025-05-13 00:00","4,708"
5900,"2025-05-14 00:00","4,692"
5900,"2025-05-14 12:00","1,217"
5900,"2025-05-15 00:00","12,480"
5900,"2025-05-15 12:00","1,161"
5900,"2025-05-16 00:00","7,542"
5900,"2025-05-17 00:00","14,045"
5900,"2025-05-18 00:00","7,598"
5900,"2025-05-18 12:00",950
5900,"2025-05-19 00:00","11,720"
5900,"2025-05-19 12:00","1,001"
5900,"2025-05-20 00:00","1,163"
5900,"2025-05-20 12:00","12,195"
5900,"2025-05-21 00:00","2,265"
5900,"2025-05-21 12:00","7,011"
5901,"2025-04-23 00:00",3
5901,"2025-04-23 12:00",8
5901,"2025-04-24 00:00",9
5901,"2025-04-24 12:00",5
5901,"2025-04-25 00:00",13
5901,"2025-04-25 12:00",5
5901,"2025-04-26 00:00",11
5901,"2025-04-26 12:00",17
5901,"2025-04-27 00:00",10
5901,"2025-04-27 12:00",8
5901,"2025-04-28 00:00",6
5901,"2025-04-28 12:00",113
5901,"2025-04-29 00:00","6,977"
5901,"2025-04-29 12:00","14,555"
5901,"2025-04-30 00:00","14,880"
5901,"2025-04-30 12:00","14,755"
5901,"2025-05-01 00:00","14,788"
5901,"2025-05-01 12:00","14,771"
5901,"2025-05-02 00:00","14,725"
5901,"2025-05-02 12:00","14,722"
5901,"2025-05-03 00:00","14,631"
5901,"2025-05-03 12:00","14,847"
5901,"2025-05-04 00:00","14,608"
5901,"2025-05-04 12:00","13,980"
5901,"2025-05-05 00:00","13,840"
5901,"2025-05-05 12:00","10,272"
5901,"2025-05-06 00:00",7
5901,"2025-05-06 12:00",6
5901,"2025-05-07 00:00",9
5901,"2025-05-07 12:00",4
5901,"2025-05-08 00:00",5
5901,"2025-05-08 12:00",9
5901,"2025-05-09 00:00","6,808"
5901,"2025-05-09 12:00","8,355"
5901,"2025-05-10 00:00","8,239"
5901,"2025-05-10 12:00","8,303"
5901,"2025-05-11 00:00","8,262"
5901,"2025-05-11 12:00","8,339"
5901,"2025-05-12 00:00","8,336"
5901,"2025-05-12 12:00","6,308"
5901,"2025-05-13 00:00",55
5901,"2025-05-13 12:00",33
5901,"2025-05-14 00:00",49
5901,"2025-05-14 12:00",35
5901,"2025-05-15 00:00",42
5901,"2025-05-15 12:00",21
5901,"2025-05-16 00:00",12
5901,"2025-05-16 12:00",9
5901,"2025-05-17 00:00",10
5901,"2025-05-17 12:00",8
5901,"2025-05-18 00:00",35
5901,"2025-05-18 12:00",11
5901,"2025-05-19 00:00",4
5901,"2025-05-19 12:00",8
5901,"2025-05-20 00:00",46
5901,"2025-05-20 12:00",5
5901,"2025-05-21 00:00",7
5901,"2025-05-21 12:00",3
22,"2025-04-23 00:00",343
22,"2025-04-23 12:00","1,656"
22,"2025-04-24 00:00","2,150"
22,"2025-04-24 12:00","2,735"
22,"2025-04-25 00:00","2,412"
22,"2025-04-25 12:00","1,822"
22,"2025-04-26 00:00","1,334"
22,"2025-04-26 12:00","2,700"
22,"2025-04-27 00:00","2,405"
22,"2025-04-27 12:00","2,077"
22,"2025-04-28 00:00","3,912"
22,"2025-04-28 12:00","2,913"
22,"2025-04-29 00:00","2,787"
22,"2025-04-29 12:00","3,008"
22,"2025-04-30 00:00","1,862"
22,"2025-04-30 12:00","2,723"
22,"2025-05-01 00:00","2,680"
22,"2025-05-01 12:00","1,825"
22,"2025-05-02 00:00","3,362"
22,"2025-05-02 12:00","2,380"
22,"2025-05-03 00:00","2,553"
22,"2025-05-03 12:00","9,611"
22,"2025-05-04 00:00","2,086"
22,"2025-05-04 12:00","1,955"
22,"2025-05-05 00:00","2,811"
22,"2025-05-05 12:00","2,219"
22,"2025-05-06 00:00","2,055"
22,"2025-05-06 12:00","2,755"
22,"2025-05-07 00:00","2,383"
22,"2025-05-07 12:00","2,975"
22,"2025-05-08 00:00","2,100"
22,"2025-05-08 12:00","2,443"
22,"2025-05-09 00:00","1,897"
22,"2025-05-09 12:00","1,563"
22,"2025-05-10 00:00","2,284"
22,"2025-05-10 12:00","1,307"
22,"2025-05-11 00:00","1,415"
22,"2025-05-11 12:00","4,399"
22,"2025-05-12 00:00","3,500"
22,"2025-05-12 12:00","1,805"
22,"2025-05-13 00:00","1,478"
22,"2025-05-13 12:00","1,913"
22,"2025-05-14 00:00",901
22,"2025-05-14 12:00","1,646"
22,"2025-05-15 00:00","1,959"
22,"2025-05-15 12:00","1,602"
22,"2025-05-16 00:00","1,994"
22,"2025-05-16 12:00","2,066"
22,"2025-05-17 00:00","1,796"
22,"2025-05-17 12:00","1,085"
22,"2025-05-18 00:00","1,975"
22,"2025-05-18 12:00","2,657"
22,"2025-05-19 00:00","1,264"
22,"2025-05-19 12:00","1,557"
22,"2025-05-20 00:00","26,987"
