"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Cowrie,"2025-04-23 00:00","3,215"
Cowrie,"2025-04-23 12:00","11,241"
Cowrie,"2025-04-24 00:00","12,850"
Cowrie,"2025-04-24 12:00","16,896"
Cowrie,"2025-04-25 00:00","15,009"
Cowrie,"2025-04-25 12:00","11,097"
Cowrie,"2025-04-26 00:00","8,701"
Cowrie,"2025-04-26 12:00","15,759"
Cowrie,"2025-04-27 00:00","14,543"
Cowrie,"2025-04-27 12:00","11,987"
Cowrie,"2025-04-28 00:00","23,410"
Cowrie,"2025-04-28 12:00","17,375"
Cowrie,"2025-04-29 00:00","16,646"
Cowrie,"2025-04-29 12:00","15,398"
Cowrie,"2025-04-30 00:00","10,488"
Cowrie,"2025-04-30 12:00","16,212"
Cowrie,"2025-05-01 00:00","15,760"
Cowrie,"2025-05-01 12:00","11,364"
Cowrie,"2025-05-02 00:00","19,737"
Cowrie,"2025-05-02 12:00","14,625"
Cowrie,"2025-05-03 00:00","13,919"
Cowrie,"2025-05-03 12:00","50,177"
Cowrie,"2025-05-04 00:00","12,485"
Cowrie,"2025-05-04 12:00","11,360"
Cowrie,"2025-05-05 00:00","15,478"
Cowrie,"2025-05-05 12:00","14,196"
Cowrie,"2025-05-06 00:00","12,168"
Cowrie,"2025-05-06 12:00","16,158"
Cowrie,"2025-05-07 00:00","15,043"
Cowrie,"2025-05-07 12:00","17,936"
Cowrie,"2025-05-08 00:00","13,281"
Cowrie,"2025-05-08 12:00","15,529"
Cowrie,"2025-05-09 00:00","11,577"
Cowrie,"2025-05-09 12:00","9,337"
Cowrie,"2025-05-10 00:00","16,279"
Cowrie,"2025-05-10 12:00","10,027"
Cowrie,"2025-05-11 00:00","9,335"
Cowrie,"2025-05-11 12:00","23,807"
Cowrie,"2025-05-12 00:00","21,441"
Cowrie,"2025-05-12 12:00","11,717"
Cowrie,"2025-05-13 00:00","9,676"
Cowrie,"2025-05-13 12:00","11,105"
Cowrie,"2025-05-14 00:00","5,630"
Cowrie,"2025-05-14 12:00","10,287"
Cowrie,"2025-05-15 00:00","10,563"
Cowrie,"2025-05-15 12:00","9,539"
Cowrie,"2025-05-16 00:00","11,631"
Cowrie,"2025-05-16 12:00","11,949"
Cowrie,"2025-05-17 00:00","11,480"
Cowrie,"2025-05-17 12:00","6,128"
Cowrie,"2025-05-18 00:00","10,674"
Cowrie,"2025-05-18 12:00","14,459"
Cowrie,"2025-05-19 00:00","7,473"
Cowrie,"2025-05-19 12:00","11,451"
Cowrie,"2025-05-20 00:00","88,866"
Cowrie,"2025-05-20 12:00","269,770"
Cowrie,"2025-05-21 00:00","33,524"
Cowrie,"2025-05-21 12:00","8,270"
Honeytrap,"2025-04-23 00:00","4,077"
Honeytrap,"2025-04-23 12:00","10,263"
Honeytrap,"2025-04-24 00:00","10,449"
Honeytrap,"2025-04-24 12:00","9,782"
Honeytrap,"2025-04-25 00:00","10,735"
Honeytrap,"2025-04-25 12:00","11,526"
Honeytrap,"2025-04-26 00:00","10,365"
Honeytrap,"2025-04-26 12:00","7,674"
Honeytrap,"2025-04-27 00:00","11,677"
Honeytrap,"2025-04-27 12:00","9,320"
Honeytrap,"2025-04-28 00:00","9,087"
Honeytrap,"2025-04-28 12:00","9,478"
Honeytrap,"2025-04-29 00:00","16,640"
Honeytrap,"2025-04-29 12:00","26,217"
Honeytrap,"2025-04-30 00:00","25,394"
Honeytrap,"2025-04-30 12:00","23,862"
Honeytrap,"2025-05-01 00:00","27,473"
Honeytrap,"2025-05-01 12:00","25,934"
Honeytrap,"2025-05-02 00:00","25,943"
Honeytrap,"2025-05-02 12:00","49,977"
Honeytrap,"2025-05-03 00:00","23,093"
Honeytrap,"2025-05-03 12:00","23,081"
Honeytrap,"2025-05-04 00:00","25,573"
Honeytrap,"2025-05-04 12:00","25,093"
Honeytrap,"2025-05-05 00:00","24,531"
Honeytrap,"2025-05-05 12:00","20,538"
Honeytrap,"2025-05-06 00:00","10,841"
Honeytrap,"2025-05-06 12:00","10,715"
Honeytrap,"2025-05-07 00:00","10,473"
Honeytrap,"2025-05-07 12:00","9,893"
Honeytrap,"2025-05-08 00:00","11,289"
Honeytrap,"2025-05-08 12:00","9,659"
Honeytrap,"2025-05-09 00:00","17,031"
Honeytrap,"2025-05-09 12:00","77,453"
Honeytrap,"2025-05-10 00:00","16,769"
Honeytrap,"2025-05-10 12:00","17,020"
Honeytrap,"2025-05-11 00:00","18,350"
Honeytrap,"2025-05-11 12:00","19,202"
Honeytrap,"2025-05-12 00:00","17,663"
Honeytrap,"2025-05-12 12:00","14,927"
Honeytrap,"2025-05-13 00:00","9,906"
Honeytrap,"2025-05-13 12:00","8,396"
Honeytrap,"2025-05-14 00:00","14,224"
Honeytrap,"2025-05-14 12:00","18,101"
Honeytrap,"2025-05-15 00:00","17,891"
Honeytrap,"2025-05-15 12:00","15,655"
Honeytrap,"2025-05-16 00:00","17,799"
Honeytrap,"2025-05-16 12:00","19,994"
Honeytrap,"2025-05-17 00:00","16,793"
Honeytrap,"2025-05-17 12:00","22,404"
Honeytrap,"2025-05-18 00:00","33,501"
Honeytrap,"2025-05-18 12:00","16,370"
Honeytrap,"2025-05-19 00:00","15,625"
Honeytrap,"2025-05-19 12:00","14,697"
Honeytrap,"2025-05-20 00:00","13,826"
Honeytrap,"2025-05-20 12:00","13,073"
Honeytrap,"2025-05-21 00:00","11,238"
Honeytrap,"2025-05-21 12:00","9,078"
Ciscoasa,"2025-04-23 00:00",219
Ciscoasa,"2025-04-23 12:00",692
Ciscoasa,"2025-04-24 00:00",667
Ciscoasa,"2025-04-24 12:00",610
Ciscoasa,"2025-04-25 00:00",581
Ciscoasa,"2025-04-25 12:00","2,739"
Ciscoasa,"2025-04-26 00:00","8,000"
Ciscoasa,"2025-04-26 12:00","7,608"
Ciscoasa,"2025-04-27 00:00","7,067"
Ciscoasa,"2025-04-27 12:00","7,317"
Ciscoasa,"2025-04-28 00:00","7,355"
Ciscoasa,"2025-04-28 12:00","7,457"
Ciscoasa,"2025-04-29 00:00","7,671"
Ciscoasa,"2025-04-29 12:00","7,521"
Ciscoasa,"2025-04-30 00:00","7,506"
Ciscoasa,"2025-04-30 12:00","2,017"
Ciscoasa,"2025-05-01 00:00",699
Ciscoasa,"2025-05-01 12:00","2,291"
Ciscoasa,"2025-05-02 00:00",667
Ciscoasa,"2025-05-02 12:00","8,116"
Ciscoasa,"2025-05-03 00:00","7,844"
Ciscoasa,"2025-05-03 12:00","10,303"
Ciscoasa,"2025-05-04 00:00","9,673"
Ciscoasa,"2025-05-04 12:00","3,025"
Ciscoasa,"2025-05-05 00:00",652
Ciscoasa,"2025-05-05 12:00","7,833"
Ciscoasa,"2025-05-06 00:00","5,540"
Ciscoasa,"2025-05-06 12:00","8,193"
Ciscoasa,"2025-05-07 00:00","8,824"
Ciscoasa,"2025-05-07 12:00","9,241"
Ciscoasa,"2025-05-08 00:00","1,613"
Ciscoasa,"2025-05-08 12:00",932
Ciscoasa,"2025-05-09 00:00","3,207"
