"Timestamp per 12 hours",Attacks,"Unique Source IPs"
"2025-04-23 00:00","8,246","1,552"
"2025-04-23 12:00","36,315","3,167"
"2025-04-24 00:00","32,831","3,412"
"2025-04-24 12:00","45,044","3,386"
"2025-04-25 00:00","41,998","3,024"
"2025-04-25 12:00","43,542","2,850"
"2025-04-26 00:00","73,095","2,957"
"2025-04-26 12:00","39,017","2,793"
"2025-04-27 00:00","49,628","2,897"
"2025-04-27 12:00","36,534","2,639"
"2025-04-28 00:00","44,442","2,784"
"2025-04-28 12:00","47,685","2,887"
"2025-04-29 00:00","64,408","3,464"
"2025-04-29 12:00","62,123","3,307"
"2025-04-30 00:00","57,561","3,518"
"2025-04-30 12:00","55,834","3,384"
"2025-05-01 00:00","46,040","3,690"
"2025-05-01 12:00","41,599","3,590"
"2025-05-02 00:00","48,171","3,642"
"2025-05-02 12:00","74,607","3,604"
"2025-05-03 00:00","53,017","3,630"
"2025-05-03 12:00","85,232","3,553"
"2025-05-04 00:00","49,438","3,719"
"2025-05-04 12:00","41,086","3,404"
"2025-05-05 00:00","54,027","3,563"
"2025-05-05 12:00","47,766","3,591"
"2025-05-06 00:00","42,274","3,752"
"2025-05-06 12:00","36,955","3,035"
"2025-05-07 00:00","36,986","3,033"
"2025-05-07 12:00","49,485","2,869"
"2025-05-08 00:00","46,118","3,206"
"2025-05-08 12:00","27,847","2,951"
"2025-05-09 00:00","49,104","3,227"
"2025-05-09 12:00","104,424","2,985"
"2025-05-10 00:00","56,431","3,206"
"2025-05-10 12:00","37,248","3,304"
"2025-05-11 00:00","47,790","3,726"
"2025-05-11 12:00","51,982","3,588"
"2025-05-12 00:00","51,509","3,570"
"2025-05-12 12:00","75,999","3,578"
"2025-05-13 00:00","38,621","3,700"
"2025-05-13 12:00","32,114","3,537"
"2025-05-14 00:00","33,191","3,739"
"2025-05-14 12:00","39,190","3,598"
"2025-05-15 00:00","52,849","3,768"
"2025-05-15 12:00","36,443","3,578"
"2025-05-16 00:00","67,078","3,706"
"2025-05-16 12:00","40,070","3,576"
"2025-05-17 00:00","44,861","3,460"
"2025-05-17 12:00","39,130","3,065"
"2025-05-18 00:00","54,425","3,161"
"2025-05-18 12:00","41,081","2,898"
"2025-05-19 00:00","45,815","2,912"
"2025-05-19 12:00","71,573","2,812"
"2025-05-20 00:00","110,655","3,400"
"2025-05-20 12:00","310,800","3,374"
"2025-05-21 00:00","69,200","3,519"
"2025-05-21 12:00","29,724","3,268"
