"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc activity","2025-04-23 00:00","9,802"
"Misc activity","2025-04-23 12:00","88,514"
"Misc activity","2025-04-24 00:00","62,415"
"Misc activity","2025-04-24 12:00","87,849"
"Misc activity","2025-04-25 00:00","74,806"
"Misc activity","2025-04-25 12:00","72,923"
"Misc activity","2025-04-26 00:00","124,758"
"Misc activity","2025-04-26 12:00","56,764"
"Misc activity","2025-04-27 00:00","91,420"
"Misc activity","2025-04-27 12:00","76,514"
"Misc activity","2025-04-28 00:00","57,151"
"Misc activity","2025-04-28 12:00","95,042"
"Misc activity","2025-04-29 00:00","87,208"
"Misc activity","2025-04-29 12:00","53,991"
"Misc activity","2025-04-30 00:00","40,729"
"Misc activity","2025-04-30 12:00","65,371"
"Misc activity","2025-05-01 00:00","47,648"
"Misc activity","2025-05-01 12:00","59,243"
"Misc activity","2025-05-02 00:00","59,753"
"Misc activity","2025-05-02 12:00","79,327"
"Misc activity","2025-05-03 00:00","66,478"
"Misc activity","2025-05-03 12:00","63,624"
"Misc activity","2025-05-04 00:00","79,162"
"Misc activity","2025-05-04 12:00","108,143"
"Misc activity","2025-05-05 00:00","136,553"
"Misc activity","2025-05-05 12:00","95,564"
"Misc activity","2025-05-06 00:00","97,133"
"Misc activity","2025-05-06 12:00","84,472"
"Misc activity","2025-05-07 00:00","74,292"
"Misc activity","2025-05-07 12:00","111,173"
"Misc activity","2025-05-08 00:00","97,898"
"Misc activity","2025-05-08 12:00","105,988"
"Misc activity","2025-05-09 00:00","118,855"
"Misc activity","2025-05-09 12:00","89,855"
"Misc activity","2025-05-10 00:00","50,291"
"Misc activity","2025-05-10 12:00","39,761"
"Misc activity","2025-05-11 00:00","58,218"
"Misc activity","2025-05-11 12:00","48,008"
"Misc activity","2025-05-12 00:00","61,507"
"Misc activity","2025-05-12 12:00","75,385"
"Misc activity","2025-05-13 00:00","93,381"
"Misc activity","2025-05-13 12:00","104,616"
"Misc activity","2025-05-14 00:00","105,057"
"Misc activity","2025-05-14 12:00","77,507"
"Misc activity","2025-05-15 00:00","110,827"
"Misc activity","2025-05-15 12:00","81,610"
"Misc activity","2025-05-16 00:00","104,416"
"Misc activity","2025-05-16 12:00","99,172"
"Misc activity","2025-05-17 00:00","136,342"
"Misc activity","2025-05-17 12:00","59,176"
"Misc activity","2025-05-18 00:00","84,820"
"Misc activity","2025-05-18 12:00","59,512"
"Misc activity","2025-05-19 00:00","89,744"
"Misc activity","2025-05-19 12:00","53,874"
"Misc activity","2025-05-20 00:00","52,155"
"Misc activity","2025-05-20 12:00","84,782"
"Misc activity","2025-05-21 00:00","59,625"
"Misc activity","2025-05-21 12:00","67,338"
"Attempted Administrator Privilege Gain","2025-04-23 00:00","2,961"
"Attempted Administrator Privilege Gain","2025-04-23 12:00","34,653"
"Attempted Administrator Privilege Gain","2025-04-24 00:00","13,055"
"Attempted Administrator Privilege Gain","2025-04-24 12:00","22,075"
"Attempted Administrator Privilege Gain","2025-04-25 00:00","17,794"
"Attempted Administrator Privilege Gain","2025-04-25 12:00","21,969"
"Attempted Administrator Privilege Gain","2025-04-26 00:00","21,312"
"Attempted Administrator Privilege Gain","2025-04-26 12:00","17,476"
"Attempted Administrator Privilege Gain","2025-04-27 00:00","24,116"
"Attempted Administrator Privilege Gain","2025-04-27 12:00","14,156"
"Attempted Administrator Privilege Gain","2025-04-28 00:00","12,357"
"Attempted Administrator Privilege Gain","2025-04-28 12:00","28,025"
"Attempted Administrator Privilege Gain","2025-04-29 00:00","10,802"
"Attempted Administrator Privilege Gain","2025-04-29 12:00","20,785"
"Attempted Administrator Privilege Gain","2025-04-30 00:00","21,599"
"Attempted Administrator Privilege Gain","2025-04-30 12:00","28,452"
"Attempted Administrator Privilege Gain","2025-05-01 00:00","4,699"
"Attempted Administrator Privilege Gain","2025-05-01 12:00","4,656"
"Attempted Administrator Privilege Gain","2025-05-02 00:00","7,185"
"Attempted Administrator Privilege Gain","2025-05-02 12:00","15,754"
"Attempted Administrator Privilege Gain","2025-05-03 00:00","5,825"
"Attempted Administrator Privilege Gain","2025-05-03 12:00","9,172"
"Attempted Administrator Privilege Gain","2025-05-04 00:00","16,456"
"Attempted Administrator Privilege Gain","2025-05-04 12:00","13,612"
"Attempted Administrator Privilege Gain","2025-05-05 00:00","21,709"
"Attempted Administrator Privilege Gain","2025-05-05 12:00","17,451"
"Attempted Administrator Privilege Gain","2025-05-06 00:00","25,225"
"Attempted Administrator Privilege Gain","2025-05-06 12:00","15,539"
"Attempted Administrator Privilege Gain","2025-05-07 00:00","18,391"
"Attempted Administrator Privilege Gain","2025-05-07 12:00","29,885"
"Attempted Administrator Privilege Gain","2025-05-08 00:00","12,367"
"Attempted Administrator Privilege Gain","2025-05-08 12:00","16,808"
"Attempted Administrator Privilege Gain","2025-05-09 00:00","12,008"
"Attempted Administrator Privilege Gain","2025-05-09 12:00","22,592"
"Attempted Administrator Privilege Gain","2025-05-10 00:00","7,864"
"Attempted Administrator Privilege Gain","2025-05-10 12:00","13,738"
"Attempted Administrator Privilege Gain","2025-05-11 00:00","14,251"
"Attempted Administrator Privilege Gain","2025-05-11 12:00","19,969"
"Attempted Administrator Privilege Gain","2025-05-12 00:00","15,860"
"Attempted Administrator Privilege Gain","2025-05-12 12:00","20,994"
"Attempted Administrator Privilege Gain","2025-05-13 00:00","15,434"
"Attempted Administrator Privilege Gain","2025-05-13 12:00","6,568"
"Attempted Administrator Privilege Gain","2025-05-14 00:00","12,735"
"Attempted Administrator Privilege Gain","2025-05-14 12:00","15,886"
"Attempted Administrator Privilege Gain","2025-05-15 00:00","22,822"
"Attempted Administrator Privilege Gain","2025-05-15 12:00","9,869"
"Attempted Administrator Privilege Gain","2025-05-16 00:00","21,418"
"Attempted Administrator Privilege Gain","2025-05-16 12:00","11,836"
"Attempted Administrator Privilege Gain","2025-05-17 00:00","21,580"
"Attempted Administrator Privilege Gain","2025-05-17 12:00","14,428"
"Attempted Administrator Privilege Gain","2025-05-18 00:00","18,451"
"Attempted Administrator Privilege Gain","2025-05-18 12:00","12,363"
"Attempted Administrator Privilege Gain","2025-05-19 00:00","19,467"
"Attempted Administrator Privilege Gain","2025-05-19 12:00","7,394"
"Attempted Administrator Privilege Gain","2025-05-20 00:00","8,869"
"Attempted Administrator Privilege Gain","2025-05-20 12:00","31,849"
"Attempted Administrator Privilege Gain","2025-05-21 00:00","17,035"
"Attempted Administrator Privilege Gain","2025-05-21 12:00","26,974"
"Generic Protocol Command Decode","2025-04-23 00:00",664
"Generic Protocol Command Decode","2025-04-23 12:00","15,605"
"Generic Protocol Command Decode","2025-04-24 00:00","3,040"
"Generic Protocol Command Decode","2025-04-24 12:00","9,054"
"Generic Protocol Command Decode","2025-04-25 00:00","5,907"
"Generic Protocol Command Decode","2025-04-25 12:00","2,646"
"Generic Protocol Command Decode","2025-04-26 00:00","4,464"
"Generic Protocol Command Decode","2025-04-26 12:00","3,590"
"Generic Protocol Command Decode","2025-04-27 00:00","8,721"
"Generic Protocol Command Decode","2025-04-27 12:00","3,850"
"Generic Protocol Command Decode","2025-04-28 00:00","3,734"
"Generic Protocol Command Decode","2025-04-28 12:00","7,633"
"Generic Protocol Command Decode","2025-04-29 00:00","3,873"
"Generic Protocol Command Decode","2025-04-29 12:00","4,012"
"Generic Protocol Command Decode","2025-04-30 00:00","4,635"
"Generic Protocol Command Decode","2025-04-30 12:00","2,323"
"Generic Protocol Command Decode","2025-05-01 00:00","2,296"
"Generic Protocol Command Decode","2025-05-01 12:00","6,518"
"Generic Protocol Command Decode","2025-05-02 00:00","6,715"
"Generic Protocol Command Decode","2025-05-02 12:00","4,141"
"Generic Protocol Command Decode","2025-05-03 00:00","3,283"
"Generic Protocol Command Decode","2025-05-03 12:00","4,082"
"Generic Protocol Command Decode","2025-05-04 00:00","3,507"
"Generic Protocol Command Decode","2025-05-04 12:00","2,660"
"Generic Protocol Command Decode","2025-05-05 00:00","1,841"
"Generic Protocol Command Decode","2025-05-05 12:00","4,354"
"Generic Protocol Command Decode","2025-05-06 00:00","34,154"
"Generic Protocol Command Decode","2025-05-06 12:00","13,389"
"Generic Protocol Command Decode","2025-05-07 00:00","3,344"
"Generic Protocol Command Decode","2025-05-07 12:00","12,241"
"Generic Protocol Command Decode","2025-05-08 00:00","6,505"
"Generic Protocol Command Decode","2025-05-08 12:00","1,923"
"Generic Protocol Command Decode","2025-05-09 00:00","6,115"
"Generic Protocol Command Decode","2025-05-09 12:00","5,012"
"Generic Protocol Command Decode","2025-05-10 00:00","3,808"
"Generic Protocol Command Decode","2025-05-10 12:00","2,507"
"Generic Protocol Command Decode","2025-05-11 00:00","4,501"
"Generic Protocol Command Decode","2025-05-11 12:00","4,435"
"Generic Protocol Command Decode","2025-05-12 00:00","6,860"
"Generic Protocol Command Decode","2025-05-12 12:00","2,951"
"Generic Protocol Command Decode","2025-05-13 00:00","3,473"
"Generic Protocol Command Decode","2025-05-13 12:00","4,994"
"Generic Protocol Command Decode","2025-05-14 00:00","3,415"
"Generic Protocol Command Decode","2025-05-14 12:00","7,013"
"Generic Protocol Command Decode","2025-05-15 00:00","8,737"
"Generic Protocol Command Decode","2025-05-15 12:00","2,490"
"Generic Protocol Command Decode","2025-05-16 00:00","2,709"
"Generic Protocol Command Decode","2025-05-16 12:00","6,980"
"Generic Protocol Command Decode","2025-05-17 00:00","6,387"
"Generic Protocol Command Decode","2025-05-17 12:00","6,527"
"Generic Protocol Command Decode","2025-05-18 00:00","2,332"
"Generic Protocol Command Decode","2025-05-18 12:00","3,192"
"Generic Protocol Command Decode","2025-05-19 00:00","3,210"
"Generic Protocol Command Decode","2025-05-19 12:00","2,845"
"Generic Protocol Command Decode","2025-05-20 00:00","2,627"
"Generic Protocol Command Decode","2025-05-20 12:00","14,971"
"Generic Protocol Command Decode","2025-05-21 00:00","16,356"
"Generic Protocol Command Decode","2025-05-21 12:00","1,711"
"Misc Attack","2025-04-23 00:00","1,649"
"Misc Attack","2025-04-23 12:00","3,183"
"Misc Attack","2025-04-24 00:00","3,494"
"Misc Attack","2025-04-24 12:00","3,254"
"Misc Attack","2025-04-25 00:00","3,395"
"Misc Attack","2025-04-25 12:00","2,919"
"Misc Attack","2025-04-26 00:00","3,535"
"Misc Attack","2025-04-26 12:00","4,519"
"Misc Attack","2025-04-27 00:00","5,061"
"Misc Attack","2025-04-27 12:00","4,404"
"Misc Attack","2025-04-28 00:00","4,881"
"Misc Attack","2025-04-28 12:00","3,852"
"Misc Attack","2025-04-29 00:00","5,001"
"Misc Attack","2025-04-29 12:00","3,846"
"Misc Attack","2025-04-30 00:00","4,520"
"Misc Attack","2025-04-30 12:00","2,771"
"Misc Attack","2025-05-01 00:00","3,395"
"Misc Attack","2025-05-01 12:00","2,950"
"Misc Attack","2025-05-02 00:00","3,333"
"Misc Attack","2025-05-02 12:00","3,054"
"Misc Attack","2025-05-03 00:00","4,043"
"Misc Attack","2025-05-03 12:00","4,785"
"Misc Attack","2025-05-04 00:00","5,361"
"Misc Attack","2025-05-04 12:00","5,036"
"Misc Attack","2025-05-05 00:00","5,331"
"Misc Attack","2025-05-05 12:00","4,056"
"Misc Attack","2025-05-06 00:00","4,945"
"Misc Attack","2025-05-06 12:00","4,025"
"Misc Attack","2025-05-07 00:00","4,568"
"Misc Attack","2025-05-07 12:00","2,968"
"Misc Attack","2025-05-08 00:00","3,867"
"Misc Attack","2025-05-08 12:00","2,996"
"Misc Attack","2025-05-09 00:00","3,412"
"Misc Attack","2025-05-09 12:00","2,982"
"Misc Attack","2025-05-10 00:00","3,735"
"Misc Attack","2025-05-10 12:00","4,416"
"Misc Attack","2025-05-11 00:00","5,262"
"Misc Attack","2025-05-11 12:00","4,399"
"Misc Attack","2025-05-12 00:00","5,060"
"Misc Attack","2025-05-12 12:00","3,891"
"Misc Attack","2025-05-13 00:00","5,479"
"Misc Attack","2025-05-13 12:00","4,368"
"Misc Attack","2025-05-14 00:00","3,866"
