Top 50 values of username.keyword in USA region,Count of records
root,"38,439"
admin,"6,606"
345gs5662d34,"2,320"
user,"2,012"
sa,"1,937"
oracle,"1,923"
postgres,"1,632"
ubuntu,"1,550"
test,"1,539"
hadoop,984
git,955
ftpuser,930
es,880
gitlab,848
guest,811
www,755
ubnt,741
steam,735
mysql,693
dev,680
app,640
esuser,626
deploy,619
nginx,611
ftp,600
dolphinscheduler,599
centos,570
flask,562
tom,539
user1,534
wang,534
elastic,520
lighthouse,519
sonar,514
oscar,487
uftp,480
tomcat,464
apache,437
developer,434
pi,411
elasticsearch,405
docker,389
solana,350
admin1,342
gpadmin,340
zabbix,332
Admin,327
testuser,304
ranger,293
rancher,288
