"geoip.country_name.keyword: Descending","DestPort: Descending",Count
"United States",445,"14,716"
"United States",443,"2,324"
"United States",80,"1,944"
"United States",23,"1,645"
"United States",5901,"1,288"
Russia,5900,"67,726"
Russia,445,"25,467"
Russia,23,481
Russia,2323,437
Russia,22,103
Germany,5900,"31,187"
Germany,80,"2,742"
Germany,6443,148
Germany,443,145
Germany,1433,138
Bulgaria,445,"3,166"
Bulgaria,23,266
Bulgaria,25,166
Bulgaria,2323,94
Bulgaria,8728,79
Pakistan,22,"11,851"
Pakistan,445,"6,288"
Pakistan,23,32
Pakistan,2323,31
Pakistan,5985,2
