"username.keyword: Descending",Count
root,"17,407"
admin,"1,086"
sa,"1,082"
"(empty)",261
345gs5662d34,247
support,245
user,236
test,224
ubnt,179
guest,161
administrator,154
default,149
debian,135
nobody,133
dbaadmin,131
Admin,124
centos,120
config,113
blank,108
supervisor,97
postgres,93
operator,90
unknown,71
pi,64
ubuntu,46
hikvision,31
anonymous,28
Test,27
ftpuser,25
CUAdmin,24
ftp,22
"sftp_root",21
User,19
oracle,19
service,18
e8ehome1,17
Default,16
user1,16
Centos,14
Root,14
alex,14
admin1,13
Administrator,12
Config,12
Debian,12
Support,12
888888,11
bin,11
git,10
kafka,10
